state,total,place,race,religion,sexual_orientation,ethnicity,disability,gender,gender_identity
,,Lake Forest,1,0,0,0,0,0,1
,,Lancaster,1,1,1,1,1,0,0
,,La Puente,1,0,0,0,0,0,0
,,La Quinta,1,0,0,1,0,0,0
,,Livermore,0,0,1,2,0,0,0
,,Lomita,0,1,0,0,0,0,0
,,Long Beach,4,2,4,0,0,0,0
,,Los Angeles,44,41,41,14,2,0,10
,,Los Gatos,2,0,0,1,0,1,0
,,Lynwood,1,1,0,0,0,0,1
,,Malibu,1,0,0,0,0,0,0
,,Mammoth Lakes,1,0,0,1,0,0,0
,,Manteca,0,1,0,0,0,0,0
,,Marina,1,0,0,1,0,0,0
,,Menifee,1,0,0,0,0,0,0
,,Merced,0,0,1,0,0,0,0
,,Modesto,2,0,1,1,0,0,0
,,Monrovia,1,0,0,0,0,0,0
,,Montclair,3,0,0,0,0,0,0
,,Monterey,1,0,1,0,0,0,0
,,Monterey Park,1,0,0,0,0,0,0
,,Moorpark,1,0,0,0,0,0,0
,,Moreno Valley,4,0,0,0,0,0,0
,,Murrieta,0,0,1,0,0,0,0
,,National City,0,0,1,0,0,0,0
,,Newark,2,0,0,0,0,0,0
,,Newport Beach,0,1,1,0,0,0,0
,,Norco,0,0,0,1,0,0,0
,,Norwalk,11,0,0,0,0,0,0
,,Oakland,6,2,5,1,0,0,0
,,Oceanside,2,0,0,2,0,0,0
,,Orange,1,2,0,0,0,0,0
,,Oxnard,2,1,0,1,0,0,0
,,Palmdale,2,0,0,1,0,0,0
,,Palm Springs,0,2,1,0,0,0,0
,,Palo Alto,2,1,0,0,0,0,0
,,Paramount,0,0,2,0,0,0,0
,,Pasadena,3,0,1,0,0,0,0
,,Paso Robles,2,0,0,0,0,0,0
,,Pico Rivera,0,0,0,1,0,0,0
,,Piedmont,0,1,0,0,0,0,0
,,Pittsburg,0,1,0,0,0,0,0
,,Placentia,1,0,0,1,0,0,0
,,Pomona,1,0,1,0,0,0,0
,,Poway,0,1,0,0,0,0,0
,,Rancho Cucamonga,2,0,0,0,0,0,0
,,Red Bluff,2,0,1,0,0,0,0
,,Redding,1,1,2,0,0,0,0
,,Redlands,0,0,2,1,0,0,0
,,Redondo Beach,3,0,1,0,0,0,0
,,Ripon2,1,0,1,0,0,0,0
,,Riverside,8,0,2,3,0,0,0
,,Roseville,1,1,1,0,0,0,0
,,Sacramento,1,0,5,1,0,0,0
,,Salinas,0,0,1,0,0,0,0
,,San Bernardino,1,0,0,0,0,0,0
,,San Clemente,0,1,0,1,0,0,0
,,San Diego,8,5,13,8,0,0,3
,,San Dimas,1,0,0,0,0,0,0
,,San Francisco,2,4,11,3,0,0,2
,,San Jose,5,1,1,4,0,0,0
,,San Leandro,0,0,1,0,0,0,1
,,San Luis Obispo,1,0,0,0,0,0,0
,,San Marcos,0,0,1,0,0,0,0
,,San Mateo,2,0,0,0,0,0,0
,,San Rafael,0,0,1,1,0,0,0
,,San Ramon,0,0,1,0,0,0,0
,,Santa Ana,4,1,1,1,0,0,0
,,Santa Clarita,2,1,1,4,0,0,0
,,Santa Cruz,4,1,2,0,1,0,0
,,Santa Monica,0,1,0,0,0,0,0
,,Santee,0,0,0,1,0,0,0
,,Sierra Madre,1,0,0,0,0,0,0
,,Simi Valley,3,1,0,0,0,0,0
,,Sonora,1,1,0,0,0,0,0
,,South Gate,0,0,1,0,0,0,0
,,Stockton,1,1,0,1,0,0,0
,,Sunnyvale,0,1,0,0,0,0,0
,,Taft,0,1,0,0,0,0,0
,,Tehachapi,1,0,0,0,0,0,0
,,Temple City,1,0,1,0,0,0,0
,,Torrance,0,0,1,0,0,0,0
,,Tracy,1,0,0,1,0,0,0
,,Turlock,0,0,1,0,0,0,0
,,Twentynine Palms,0,0,0,0,0,0,1
,,Ukiah,1,0,0,0,0,0,0
,,Union City,3,0,0,0,0,0,0
,,Vacaville,1,0,0,0,0,0,0
,,Ventura,1,0,0,0,0,0,0
,,Victorville,1,1,1,0,0,0,0
,,Visalia,1,0,1,0,0,0,0
,,Vista,2,1,0,0,0,0,0
,,Walnut Creek,1,1,0,0,0,0,0
,,Waterford,0,0,0,1,0,0,0
,,West Covina,1,0,0,1,0,0,0
,,West Hollywood,1,1,4,1,0,0,0
,,Windsor,0,0,1,0,0,0,0
,,Yorba Linda,0,1,0,0,0,0,0
,,Yuba City,0,0,0,1,0,0,0
,,Yucaipa,0,0,1,0,0,0,0
,,Yucca Valley,1,0,0,0,0,0,0
,Universities and Colleges,,8,2,6,2,0,0,0
,,"California State Polytechnic University, San Luis Obispo",0,0,0,1,0,0,0
,,California State University: ,,,,,,,
,,East Bay,0,0,1,0,0,0,0
,,San Jose,2,0,0,0,0,0,0
,,Riverside Community College,1,0,0,0,0,0,0
,,University of California: ,,,,,,,
,,Berkeley,2,2,4,0,0,0,0
,,Davis,2,0,1,0,0,0,0
,,San Diego,1,0,0,1,0,0,0
,Metropolitan Counties,,30,9,25,12,0,1,1
,,Fresno,0,0,0,1,0,0,0
,,Imperial,0,0,1,0,0,0,0
,,Los Angeles,7,3,3,5,0,0,0
,,Marin,0,1,0,0,0,0,0
,,Merced,0,0,1,0,0,0,0
,,Orange,1,0,1,0,0,0,0
,,Riverside,2,0,1,0,0,0,0
,,Sacramento,1,0,3,0,0,1,1
,,San Bernardino,2,0,2,0,0,0,0
,,San Diego,10,1,4,2,0,0,0
,,San Mateo,1,0,0,0,0,0,0
,,Santa Barbara,1,1,0,0,0,0,0
,,Santa Clara,1,0,3,0,0,0,0
,,Santa Cruz,0,1,2,4,0,0,0
,,Shasta,1,0,0,0,0,0,0
,,Sonoma,0,0,1,0,0,0,0
,,Stanislaus,0,0,1,0,0,0,0
,,Ventura,0,2,1,0,0,0,0
,,Yolo,0,0,1,0,0,0,0
,,Yuba2,3,0,0,0,0,0,0
,Nonmetropolitan Counties,,5,0,2,0,0,0,0
,,Amador,0,0,1,0,0,0,0
,,Calaveras,2,0,0,0,0,0,0
,,Glenn,1,0,0,0,0,0,0
,,Humboldt,0,0,1,0,0,0,0
,,Tuolumne,2,0,0,0,0,0,0
,State Police Agencies,,1,0,0,0,0,0,0
,,"Highway Patrol, San Diego County",1,0,0,0,0,0,0
,Other Agencies,,14,1,11,6,0,0,0
,,"Department of Parks and Recreation, San Diego Coast ",1,0,0,0,0,0,0
,,Los Angeles County Metropolitan Transportation Authority,1,0,0,0,0,0,0
,,Los Angeles Transportation Services Bureau,6,0,5,4,0,0,0
,,Port of San Diego Harbor,1,0,1,1,0,0,0
,,San Francisco Bay Area Rapid Transit: ,,,,,,,
,,Alameda County,2,0,4,0,0,0,0
,,Contra Costa County,1,1,1,1,0,0,0
,,San Francisco County,2,0,0,0,0,0,0
Colorado,Total,,38,11,26,16,5,0,0
,Cities,,30,9,17,14,2,0,0
,,Arvada,1,0,0,0,0,0,0
,,Aurora,1,1,2,0,0,0,0
,,Brighton,0,0,1,0,0,0,0
,,Canon City,1,0,0,0,0,0,0
,,Castle Rock,0,1,0,1,0,0,0
,,Centennial,1,2,0,0,0,0,0
,,Colorado Springs,5,0,1,1,0,0,0
,,Commerce City,0,0,0,1,0,0,0
,,Denver,6,0,7,3,0,0,0
,,Durango,0,1,2,0,0,0,0
,,Fort Collins,3,0,0,0,0,0,0
,,Fort Morgan,1,0,0,1,0,0,0
,,Glendale,0,0,1,0,0,0,0
,,Glenwood Springs,2,0,0,0,0,0,0
,,Golden,1,0,0,0,0,0,0
,,Grand Junction,0,1,2,0,0,0,0
,,Greenwood Village,1,1,0,0,1,0,0
,,Gunnison,0,0,0,1,0,0,0
,,Idaho Springs,1,0,0,0,0,0,0
,,Lakewood,0,0,0,1,0,0,0
,,Lone Tree,0,1,0,0,0,0,0
,,Longmont,2,0,0,1,0,0,0
,,Loveland,0,1,0,0,0,0,0
,,New Castle,1,0,0,0,0,0,0
,,Parachute,1,0,0,0,0,0,0
,,Pueblo,0,0,1,1,1,0,0
,,Steamboat Springs,0,0,0,3,0,0,0
,,Sterling,2,0,0,0,0,0,0
,Universities and Colleges,,1,0,1,0,0,0,0
,,University of Colorado:,,,,,,,
,,Boulder,1,0,0,0,0,0,0
,,Colorado Springs,0,0,1,0,0,0,0
,Metropolitan Counties,,6,1,6,1,3,0,0
,,Douglas,1,0,0,0,0,0,0
,,El Paso,1,0,3,0,0,0,0
,,Gilpin,1,0,0,0,0,0,0
,,Jefferson,1,0,0,0,0,0,0
,,Larimer,0,1,3,1,3,0,0
,,Mesa,1,0,0,0,0,0,0
,,Teller,1,0,0,0,0,0,0
,Nonmetropolitan Counties,,1,1,2,1,0,0,0
,,La Plata,0,1,2,0,0,0,0
,,Montezuma,1,0,0,0,0,0,0
,,Summit,0,0,0,1,0,0,0
Connecticut,Total,,57,31,23,11,1,0,0
,Cities,,56,26,22,10,1,0,0
,,Bloomfield,3,0,3,1,0,0,0
,,Bridgeport,3,0,1,1,0,0,0
,,Bristol,1,1,1,0,0,0,0
,,Brookfield,0,1,0,0,0,0,0
,,Canton,0,1,0,0,0,0,0
,,Cheshire,1,0,0,0,0,0,0
,,Coventry,0,1,0,0,0,0,0
,,Danbury,1,0,1,0,0,0,0
,,Derby,0,1,0,0,0,0,0
,,East Hartford,1,0,0,0,0,0,0
,,Easton,0,1,0,0,0,0,0
,,Enfield,0,1,0,0,0,0,0
,,Fairfield,0,0,1,0,0,0,0
,,Farmington,0,0,0,1,0,0,0
,,Glastonbury,1,0,0,0,0,0,0
,,Greenwich,0,0,1,0,0,0,0
,,Groton Town,1,1,1,0,0,0,0
,,Hamden,1,0,0,0,0,0,0
,,Manchester2,5,1,0,0,1,0,0
,,Meriden,1,0,0,0,0,0,0
,,Middlebury,1,0,0,0,0,0,0
,,Middletown,5,0,1,0,0,0,0
,,Milford,2,0,0,1,0,0,0
,,New Britain,0,0,1,0,0,0,0
,,New Haven,4,0,3,1,0,0,0
,,Newington,0,1,0,0,0,0,0
,,New Milford,0,2,0,0,0,0,0
,,Newtown,2,1,0,0,0,0,0
,,North Haven,0,1,0,0,0,0,0
,,Norwalk,1,1,0,0,0,0,0
,,Norwich,1,0,0,0,0,0,0
,,Old Saybrook,4,0,0,0,0,0,0
,,Plainfield,1,0,0,0,0,0,0
,,Plymouth,0,1,0,0,0,0,0
,,Redding,0,1,0,1,0,0,0
,,Seymour,1,1,0,0,0,0,0
,,Shelton,1,0,0,0,0,0,0
,,Southington,0,0,0,2,0,0,0
,,Stamford,1,3,4,1,0,0,0
,,Stratford,1,1,2,0,0,0,0
,,Torrington,2,0,0,0,0,0,0
,,Vernon,2,0,2,0,0,0,0
,,Wallingford,0,0,0,1,0,0,0
,,Waterbury,3,1,0,0,0,0,0
,,Watertown,1,0,0,0,0,0,0
,,West Hartford,1,0,0,0,0,0,0
,,West Haven,1,0,0,0,0,0,0
,,Wilton,0,1,0,0,0,0,0
,,Winchester,0,2,0,0,0,0,0
,,Windsor,1,0,0,0,0,0,0
,,Woodbridge,1,0,0,0,0,0,0
,Universities and Colleges,,0,2,1,0,0,0,0
,,Southern Connecticut State University,0,0,1,0,0,0,0
,,"University of Connecticut, Storrs, Avery Point and Hartford3",0,2,0,0,0,0,0
,State Police Agencies,,1,3,0,1,0,0,0
,,Connecticut State Police,1,3,0,1,0,0,0
Delaware,Total,,7,2,3,1,0,0,0
,Cities,,3,0,1,1,0,0,0
,,Camden,1,0,0,0,0,0,0
,,Newark,1,0,0,0,0,0,0
,,Rehoboth Beach,0,0,0,1,0,0,0
,,Wilmington,1,0,1,0,0,0,0
,Metropolitan Counties,,2,0,1,0,0,0,0
,,New Castle County Police Department,2,0,1,0,0,0,0
,State Police Agencies,,1,2,1,0,0,0,0
,,State Police: ,,,,,,,
,,Kent County,0,0,1,0,0,0,0
,,New Castle County,0,2,0,0,0,0,0
,,Sussex County,1,0,0,0,0,0,0
,Other Agencies,,1,0,0,0,0,0,0
,,State Fire Marshal,1,0,0,0,0,0,0
District of Columbia,Total,,13,8,29,4,1,0,15
,Cities, ,12,8,28,4,1,0,15
,,Washington2,12,8,28,4,1,0,15
,Other Agencies,,1,0,1,0,0,0,0
,,Metro Transit Police,1,0,1,0,0,0,0
Florida,Total,,34,12,12,6,1,0,0
,Cities,,16,10,8,4,1,0,0
,,Cape Coral,1,0,0,0,0,0,0
,,Clewiston,1,0,0,0,0,0,0
,,Coral Gables,0,1,0,0,0,0,0
,,Delray Beach,0,0,0,1,0,0,0
,,Gainesville,0,0,0,0,1,0,0
,,Jupiter,0,0,1,0,0,0,0
,,Kissimmee,0,0,1,1,0,0,0
,,Largo,0,0,0,1,0,0,0
,,Margate,0,1,0,0,0,0,0
,,Miami Beach,1,4,1,0,0,0,0
,,Miramar,1,0,0,0,0,0,0
,,North Miami,0,0,1,0,0,0,0
,,North Miami Beach,0,2,0,0,0,0,0
,,Ocoee,0,0,1,0,0,0,0
,,Orlando,3,0,2,0,0,0,0
,,Oviedo,1,0,0,0,0,0,0
,,Palm Bay,1,0,0,0,0,0,0
,,Pensacola,0,1,0,0,0,0,0
,,Port St. Lucie,0,0,1,0,0,0,0
,,Temple Terrace,1,0,0,0,0,0,0
,,Titusville,1,0,0,0,0,0,0
,,Weston,1,0,0,0,0,0,0
,,West Palm Beach,4,1,0,0,0,0,0
,,Winter Garden,0,0,0,1,0,0,0
,Metropolitan Counties,,18,2,4,2,0,0,0
,,Alachua,1,0,0,0,0,0,0
,,Charlotte,0,0,1,0,0,0,0
,,Clay,1,0,1,0,0,0,0
,,Highlands,1,0,0,0,0,0,0
,,Lee,1,2,0,0,0,0,0
,,Manatee,4,0,0,0,0,0,0
,,Orange,0,0,2,1,0,0,0
,,Pasco,1,0,0,0,0,0,0
,,Seminole,0,0,0,1,0,0,0
,,Sumter,3,0,0,0,0,0,0
,,Volusia,3,0,0,0,0,0,0
,,Wakulla,2,0,0,0,0,0,0
,,Walton,1,0,0,0,0,0,0
Georgia,Total,,21,3,12,3,2,0,0
,Cities,,2,1,9,0,1,0,0
,,Atlanta,2,1,9,0,1,0,0
,Metropolitan Counties,,19,2,3,3,1,0,0
,,Cobb County Police Department,16,2,2,3,1,0,0
,,Gwinnett County Police Department,2,0,0,0,0,0,0
,,Henry County Police Department,1,0,1,0,0,0,0
Idaho,Total,,13,2,3,7,0,0,0
,Cities,,13,1,3,4,0,0,0
,,Boise,6,0,2,4,0,0,0
,,Coeur d'Alene,1,0,0,0,0,0,0
,,Jerome,1,0,0,0,0,0,0
,,Lewiston,1,0,0,0,0,0,0
,,Nampa,3,0,1,0,0,0,0
,,Payette,1,0,0,0,0,0,0
,,Pocatello,0,1,0,0,0,0,0
,Metropolitan Counties,,0,0,0,1,0,0,0
,,Ada,0,0,0,1,0,0,0
,Nonmetropolitan Counties,,0,1,0,2,0,0,0
,,Cassia,0,0,0,2,0,0,0
,,Teton,0,1,0,0,0,0,0
Illinois,Total,,57,14,26,12,0,0,0
,Cities,,52,12,24,11,0,0,0
,,Addison,0,0,0,1,0,0,0
,,Arlington Heights,0,1,0,0,0,0,0
,,Aurora,2,0,1,1,0,0,0
,,Bartlett,1,0,0,0,0,0,0
,,Batavia,0,0,0,1,0,0,0
,,Beardstown,0,1,0,0,0,0,0
,,Bloomington,1,0,2,0,0,0,0
,,Cairo,1,0,0,0,0,0,0
,,Centralia,1,0,0,0,0,0,0
,,Chicago,22,6,17,5,0,0,0
,,Crest Hill,1,0,0,0,0,0,0
,,Crystal Lake,1,0,0,0,0,0,0
,,De Kalb,2,0,0,0,0,0,0
,,Eureka,1,0,0,0,0,0,0
,,Galesburg,1,0,0,0,0,0,0
,,Glenview,0,0,0,1,0,0,0
,,Grayslake,0,1,0,0,0,0,0
,,Hillsboro,1,0,0,0,0,0,0
,,Hoffman Estates,1,0,0,0,0,0,0
,,Homewood,1,0,0,0,0,0,0
,,Joliet,1,0,0,0,0,0,0
,,La Grange,1,0,0,0,0,0,0
,,La Salle,0,0,1,0,0,0,0
,,Lombard,0,1,0,0,0,0,0
,,Lyons,0,0,1,0,0,0,0
,,Normal,1,1,0,0,0,0,0
,,Oak Lawn,1,0,0,0,0,0,0
,,O'Fallon,1,0,0,0,0,0,0
,,Palestine,1,0,0,0,0,0,0
,,Peoria,0,1,1,0,0,0,0
,,Plano,0,0,1,0,0,0,0
,,Rantoul,1,0,0,0,0,0,0
,,Rockford,0,0,0,1,0,0,0
,,Schaumburg,1,0,0,0,0,0,0
,,Shiloh,1,0,0,0,0,0,0
,,Springfield,2,0,0,0,0,0,0
,,Streamwood,0,0,0,1,0,0,0
,,Urbana,1,0,0,0,0,0,0
,,Wamac,1,0,0,0,0,0,0
,,West Chicago,1,0,0,0,0,0,0
,,Wood River,1,0,0,0,0,0,0
,Universities and Colleges,,1,1,0,0,0,0,0
,,"Northwestern University, Chicago",1,0,0,0,0,0,0
,,"University of Illinois, Urbana",0,1,0,0,0,0,0
,Metropolitan Counties,,3,1,1,1,0,0,0
,,Champaign,0,0,1,0,0,0,0
,,Lake,1,0,0,0,0,0,0
,,Peoria,2,0,0,1,0,0,0
,,Winnebago,0,1,0,0,0,0,0
,Nonmetropolitan Counties,,1,0,1,0,0,0,0
,,Fulton,1,0,1,0,0,0,0
Indiana,Total,,25,9,6,8,0,2,0
,Cities,,21,9,5,6,0,0,0
,,Anderson,1,0,0,0,0,0,0
,,Bloomington,7,1,1,1,0,0,0
,,Columbus,0,4,0,0,0,0,0
,,Fishers,0,1,0,0,0,0,0
,,Fort Wayne,2,0,0,0,0,0,0
,,Indianapolis,7,3,4,5,0,0,0
,,Shelbyville,4,0,0,0,0,0,0
,Universities and Colleges,,1,0,0,0,0,0,0
,,Purdue University,1,0,0,0,0,0,0
,Nonmetropolitan Counties,,1,0,0,0,0,0,0
,,Montgomery,1,0,0,0,0,0,0
,State Police Agencies,,2,0,1,2,0,2,0
,,State Police:,,,,,,,
,,Decatur County,0,0,0,1,0,0,0
,,Marion County,0,0,0,1,0,1,0
,,Putnam County,1,0,0,0,0,0,0
,,Scott County,0,0,0,0,0,1,0
,,Vanderburgh County,0,0,1,0,0,0,0
,,Wayne County,1,0,0,0,0,0,0
Iowa,Total,,8,0,0,2,1,0,0
,Cities,,6,0,0,2,0,0,0
,,Ames,1,0,0,0,0,0,0
,,Atlantic,1,0,0,0,0,0,0
,,Bettendorf,1,0,0,1,0,0,0
,,Cedar Rapids,1,0,0,0,0,0,0
,,Council Bluffs,0,0,0,1,0,0,0
,,Des Moines,1,0,0,0,0,0,0
,,Fort Dodge,1,0,0,0,0,0,0
,Universities and Colleges,,1,0,0,0,1,0,0
,,Iowa State University,1,0,0,0,0,0,0
,,University of Iowa,0,0,0,0,1,0,0
,Nonmetropolitan Counties,,1,0,0,0,0,0,0
,,Hardin,1,0,0,0,0,0,0
Kansas,Total,,43,8,10,11,1,0,0
,Cities,,33,6,9,9,1,0,0
,,Abilene,0,1,0,0,0,0,0
,,Burlington,1,0,0,0,0,0,0
,,Dodge City,1,0,0,0,0,0,0
,,Edwardsville,0,1,0,0,0,0,0
,,Elwood,1,0,0,0,0,0,0
,,Goddard,1,0,0,0,0,0,0
,,Hays,0,0,0,1,0,0,0
,,Haysville,1,0,0,0,0,0,0
,,Hiawatha,0,0,1,0,0,0,0
,,Hutchinson,2,0,0,2,0,0,0
,,Junction City,1,0,0,0,0,0,0
,,Kansas City,1,0,0,0,0,0,0
,,Lawrence,6,0,3,3,1,0,0
,,Leavenworth,4,0,0,0,0,0,0
,,Leawood,0,1,0,0,0,0,0
,,McPherson,0,0,1,0,0,0,0
,,Mulvane,2,0,0,0,0,0,0
,,Osawatomie,1,0,0,0,0,0,0
,,Ottawa,0,0,0,1,0,0,0
,,Overland Park,1,0,0,0,0,0,0
,,Paola,1,0,0,0,0,0,0
,,Pittsburg,0,1,0,0,0,0,0
,,Salina,1,1,0,0,0,0,0
,,Wellington,1,0,0,0,0,0,0
,,Wichita,7,1,4,2,0,0,0
,Metropolitan Counties,,2,0,1,0,0,0,0
,,Jackson,1,0,0,0,0,0,0
,,Jefferson,0,0,1,0,0,0,0
,,Riley County Police Department,1,0,0,0,0,0,0
,Nonmetropolitan Counties,,7,1,0,2,0,0,0
,,Ellis,2,0,0,0,0,0,0
,,Ford,0,1,0,0,0,0,0
,,Greenwood,1,0,0,0,0,0,0
,,Kearny,1,0,0,0,0,0,0
,,Lyon,0,0,0,1,0,0,0
,,Saline,3,0,0,0,0,0,0
,,Wichita,0,0,0,1,0,0,0
,Other Agencies,,1,1,0,0,0,0,0
,,Johnson County Park,0,1,0,0,0,0,0
,,"Unified School District, Goddard",1,0,0,0,0,0,0
Kentucky,Total,,115,13,19,11,4,0,1
,Cities,,78,6,17,8,4,0,1
,,Ashland,1,0,0,0,0,0,0
,,Augusta,1,0,0,0,0,0,0
,,Bowling Green,5,0,0,0,0,0,0
,,Cadiz,1,0,0,0,0,0,0
,,Campbellsville,1,0,0,0,0,0,0
,,Carrollton,2,0,0,0,0,0,0
,,Cold Spring,2,0,0,0,0,0,0
,,Covington,3,0,1,2,0,0,0
,,Cynthiana,0,0,0,0,1,0,0
,,Dayton,0,0,1,0,0,0,0
,,Elizabethtown,0,0,1,0,0,0,0
,,Elkton,1,0,0,0,0,0,0
,,Florence,2,0,0,0,0,0,0
,,Franklin,1,0,0,0,0,0,0
,,Georgetown,2,0,0,0,0,0,0
,,Glasgow,0,0,1,0,0,0,0
,,Harrodsburg,1,0,0,0,0,0,0
,,Hazard,1,0,0,0,0,0,0
,,Henderson,1,0,0,1,0,0,0
,,Hopkinsville,3,0,0,0,0,0,0
,,Jamestown,1,0,0,0,0,0,0
,,Jeffersontown,1,0,0,1,0,0,0
,,Lebanon,1,0,0,0,0,0,0
,,Lexington2,14,2,7,3,1,0,0
,,London,1,0,0,0,0,0,0
,,Louisville Metro,3,2,2,0,1,0,1
,,Ludlow,1,0,0,0,0,0,0
,,Mayfield,1,0,0,0,0,0,0
,,Maysville,2,0,0,0,0,0,0
,,Morgantown,0,0,1,0,0,0,0
,,Murray,1,0,0,0,0,0,0
,,Newport,2,0,0,1,0,0,0
,,Nicholasville,1,0,0,0,0,0,0
,,Owensboro,4,0,0,0,0,0,0
,,Owingsville,1,0,0,0,0,0,0
,,Paducah,4,0,0,0,0,0,0
,,Paris,1,0,0,0,0,0,0
,,Raceland,0,0,1,0,0,0,0
,,Richmond,3,0,0,0,0,0,0
,,Russell Springs,1,0,0,0,0,0,0
,,Russellville,1,0,0,0,0,0,0
,,Shepherdsville,1,0,0,0,0,0,0
,,Shively,1,0,1,0,0,0,0
,,Somerset,1,0,0,0,0,0,0
,,Stanford,1,0,0,0,0,0,0
,,St. Matthews,0,1,0,0,0,0,0
,,Versailles,1,0,0,0,0,0,0
