state,total,place,race,religion,sexual_orientation,disability,gender,gender_identity
,,Sacramento,2,0,4,0,0,0
,,Salinas,0,1,0,0,0,0
,,San Bernardino2,6,0,1,0,0,0
,,San Bruno,2,0,0,0,0,0
,,San Diego,16,7,12,0,0,0
,,San Fernando,0,1,1,0,0,0
,,San Francisco2,11,7,14,0,1,4
,,San Jose,10,7,2,0,0,0
,,San Leandro,15,3,3,1,0,0
,,San Luis Obispo,2,0,0,0,0,0
,,San Marcos,1,1,0,0,0,0
,,San Mateo,0,1,1,0,0,0
,,San Rafael,1,0,0,0,0,0
,,San Ramon,4,0,0,0,0,0
,,Santa Ana,2,3,1,0,0,0
,,Santa Clarita,6,4,0,0,0,0
,,Santa Cruz,7,3,2,0,0,0
,,Santa Monica,1,1,1,0,0,0
,,Santa Rosa,0,0,1,0,0,0
,,Santee,0,1,0,0,0,0
,,Sebastopol,1,0,0,0,0,0
,,Simi Valley,1,1,0,0,0,0
,,Solvang,0,0,1,0,0,0
,,Sonoma,1,0,0,0,0,0
,,Sonora,1,0,0,0,0,0
,,South Gate,0,1,1,0,0,0
,,South San Francisco,0,4,0,0,0,0
,,Stockton,2,0,0,1,0,0
,,Suisun City,1,0,0,0,0,0
,,Sunnyvale,0,1,0,0,0,0
,,Thousand Oaks,0,1,0,0,0,0
,,Torrance,0,1,0,0,0,0
,,Turlock,3,0,0,0,0,0
,,Twentynine Palms,1,0,0,0,0,0
,,Ukiah,0,0,1,0,0,0
,,Union City,0,0,1,0,0,0
,,Vacaville,1,0,0,0,0,0
,,Vallejo,2,0,0,0,0,0
,,Ventura,2,0,1,0,0,0
,,Victorville,1,0,1,0,0,0
,,Walnut Creek,1,1,1,0,0,0
,,Watsonville,0,1,0,0,0,0
,,West Covina,1,0,0,0,0,0
,,West Hollywood,2,0,5,0,0,0
,,Westminster,3,0,1,0,0,0
,,Wildomar,1,0,0,0,0,0
,,Windsor,2,0,0,0,0,0
,Universities and Colleges,,22,7,9,0,0,1
,,"California State Polytechnic University, San Luis Obispo",1,0,0,0,0,0
,,California State University:,,,,,,
,,Dominguez Hills,4,0,0,0,0,0
,,Fullerton,0,0,1,0,0,0
,,Long Beach,2,0,0,0,0,0
,,San Jose,5,0,0,0,0,0
,,Stanislaus,0,0,1,0,0,0
,,Foothill-De Anza College,0,0,1,0,0,1
,,Humboldt State University,1,1,1,0,0,0
,,Riverside Community College,0,1,0,0,0,0
,,San Diego State University,3,0,0,0,0,0
,,University of California:,,,,,,
,,Berkeley,1,2,1,0,0,0
,,Davis,1,0,0,0,0,0
,,Los Angeles,2,1,1,0,0,0
,,Riverside,0,1,0,0,0,0
,,San Diego,2,0,1,0,0,0
,,San Francisco,0,1,0,0,0,0
,,Santa Cruz,0,0,1,0,0,0
,,Ventura County Community College District,0,0,1,0,0,0
,Metropolitan Counties,,58,9,20,0,0,2
,,Butte,0,0,1,0,0,0
,,El Dorado,0,1,0,0,0,0
,,Fresno,0,0,1,0,0,0
,,Los Angeles,17,3,6,0,0,0
,,Orange,2,0,0,0,0,0
,,Riverside,3,0,1,0,0,1
,,Sacramento,8,1,1,0,0,0
,,San Bernardino,3,2,1,0,0,1
,,San Diego,13,1,4,0,0,0
,,San Mateo,1,1,1,0,0,0
,,Santa Barbara,1,0,0,0,0,0
,,Santa Clara,2,0,0,0,0,0
,,Shasta,2,0,0,0,0,0
,,Solano,1,0,0,0,0,0
,,Sonoma,1,0,3,0,0,0
,,Sutter,1,0,0,0,0,0
,,Ventura,2,0,0,0,0,0
,,Yuba,1,0,1,0,0,0
,Nonmetropolitan Counties,,3,3,0,0,0,0
,,Amador,0,1,0,0,0,0
,,Humboldt,0,1,0,0,0,0
,,Lake,1,0,0,0,0,0
,,Mendocino,2,0,0,0,0,0
,,Tuolumne,0,1,0,0,0,0
,Other Agencies,,18,2,6,0,0,1
,,California State Fair,1,0,0,0,0,0
,,"East Bay Regional Parks, Alameda County",0,1,0,0,0,0
,,Fontana Unified School District,0,0,1,0,0,0
,,Los Angeles Transportation Services Bureau2,10,0,4,0,0,1
,,Port of San Diego Harbor,2,1,0,0,0,0
,,San Francisco Bay Area Rapid Transit: ,,,,,,
,,Alameda County,2,0,0,0,0,0
,,Contra Costa County,2,0,0,0,0,0
,,Santa Clara Transit District,1,0,1,0,0,0
Colorado,Total,,67,19,23,0,0,0
,Cities,,47,7,17,0,0,0
,,Aspen,0,1,0,0,0,0
,,Aurora,15,0,3,0,0,0
,,Boulder,2,1,1,0,0,0
,,Breckenridge,0,0,1,0,0,0
,,Carbondale,1,0,0,0,0,0
,,Centennial,2,0,0,0,0,0
,,Colorado Springs,1,1,4,0,0,0
,,Delta,0,0,1,0,0,0
,,Denver,10,3,6,0,0,0
,,Dillon,0,1,0,0,0,0
,,Erie,1,0,0,0,0,0
,,Florence,1,0,0,0,0,0
,,Fort Collins,2,0,0,0,0,0
,,Fort Lupton,1,0,0,0,0,0
,,Fountain,0,0,1,0,0,0
,,Golden,1,0,0,0,0,0
,,Grand Junction,3,0,0,0,0,0
,,Longmont,3,0,0,0,0,0
,,Loveland,1,0,0,0,0,0
,,Nederland,1,0,0,0,0,0
,,Pueblo,1,0,0,0,0,0
,,Sterling,1,0,0,0,0,0
,Universities and Colleges,,2,3,3,0,0,0
,,Auraria Higher Education Center 3,0,0,1,0,0,0
,,"University of Colorado, Boulder",2,3,1,0,0,0
,,University of Northern Colorado,0,0,1,0,0,0
,Metropolitan Counties,,15,8,3,0,0,0
,,Adams,1,0,0,0,0,0
,,Arapahoe,2,1,2,0,0,0
,,Boulder,1,1,0,0,0,0
,,Douglas,2,0,0,0,0,0
,,El Paso,1,0,0,0,0,0
,,Larimer2,6,6,1,0,0,0
,,Mesa,1,0,0,0,0,0
,,Teller,1,0,0,0,0,0
,Nonmetropolitan Counties,,3,1,0,0,0,0
,,Custer,1,0,0,0,0,0
,,Garfield,1,0,0,0,0,0
,,San Juan,1,0,0,0,0,0
,,Summit,0,1,0,0,0,0
Connecticut,Total,,62,30,14,0,0,0
,Cities,,59,27,12,0,0,0
,,Bloomfield,0,1,1,0,0,0
,,Bridgeport,5,1,0,0,0,0
,,Bristol,0,0,2,0,0,0
,,Clinton,1,0,0,0,0,0
,,Danbury,3,5,1,0,0,0
,,Darien,0,1,0,0,0,0
,,Greenwich,0,1,0,0,0,0
,,Groton,1,0,0,0,0,0
,,Groton Town,1,0,0,0,0,0
,,Guilford,1,0,0,0,0,0
,,Hartford,5,0,1,0,0,0
,,Ledyard,0,0,1,0,0,0
,,Madison,0,1,0,0,0,0
,,Manchester,6,0,1,0,0,0
,,Middletown,1,1,0,0,0,0
,,Naugatuck,1,0,0,0,0,0
,,New Haven,4,3,2,0,0,0
,,Newington,1,0,1,0,0,0
,,New London,0,2,0,0,0,0
,,Norwalk,5,2,0,0,0,0
,,Norwich,1,0,0,0,0,0
,,Old Saybrook,1,0,0,0,0,0
,,Ridgefield,0,1,0,0,0,0
,,Rocky Hill,0,1,0,0,0,0
,,Shelton,0,1,0,0,0,0
,,Southington,1,0,0,0,0,0
,,Stamford,5,1,2,0,0,0
,,Stratford,1,0,0,0,0,0
,,Torrington,1,2,0,0,0,0
,,Trumbull,1,0,0,0,0,0
,,Vernon,1,0,0,0,0,0
,,Wallingford,1,0,0,0,0,0
,,Waterbury,6,0,0,0,0,0
,,Waterford,0,1,0,0,0,0
,,West Hartford,1,1,0,0,0,0
,,Westport,2,0,0,0,0,0
,,Wethersfield,1,0,0,0,0,0
,,Willimantic,1,0,0,0,0,0
,,Woodbridge,0,1,0,0,0,0
,Universities and Colleges,,0,1,1,0,0,0
,,Southern Connecticut State University,0,1,1,0,0,0
,State Police Agencies,,2,2,1,0,0,0
,,Connecticut State Police,2,2,1,0,0,0
,Tribal Agencies,,1,0,0,0,0,0
,,Mashantucket Pequot Tribal,1,0,0,0,0,0
Delaware,Total,,11,3,1,0,0,0
,Cities,,3,1,0,0,0,0
,,Camden,1,0,0,0,0,0
,,Newark,1,0,0,0,0,0
,,Rehoboth Beach,1,0,0,0,0,0
,,Smyrna,0,1,0,0,0,0
,Metropolitan Counties,,3,1,0,0,0,0
,,New Castle County Police Department,3,1,0,0,0,0
,State Police Agencies,,3,1,1,0,0,0
,,State Police:,,,,,,
,,Kent County,1,0,0,0,0,0
,,New Castle County,2,1,1,0,0,0
,Other Agencies,,2,0,0,0,0,0
,,Park Rangers,2,0,0,0,0,0
District of Columbia,Total,,33,18,42,2,0,20
,Cities,,26,18,40,1,0,19
,,Washington,26,18,40,1,0,19
,Other Agencies,,7,0,2,1,0,1
,,Metro Transit Police,7,0,2,1,0,1
Florida,Total,,43,19,32,1,0,1
,Cities,,27,14,23,1,0,0
,,Arcadia,1,0,0,0,0,0
,,Cape Coral,1,0,0,0,0,0
,,Casselberry,0,1,0,0,0,0
,,Cocoa,0,0,1,0,0,0
,,Coral Gables,1,0,0,0,0,0
,,Davie,3,1,1,0,0,0
,,Fort Myers,2,0,1,0,0,0
,,Gainesville,4,0,0,0,0,0
,,Homestead,1,0,1,0,0,0
,,Largo,1,0,1,0,0,0
,,Miami Beach,0,4,12,1,0,0
,,New Port Richey,2,0,0,0,0,0
,,North Miami,0,0,1,0,0,0
,,North Miami Beach,0,2,0,0,0,0
,,Oakland Park,0,0,1,0,0,0
,,Orlando,3,1,1,0,0,0
,,Palm Bay,3,1,0,0,0,0
,,Pinellas Park,1,0,0,0,0,0
,,Southwest Ranches,1,1,0,0,0,0
,,Sunrise,0,1,0,0,0,0
,,Tamarac,0,0,1,0,0,0
,,Tampa,2,0,1,0,0,0
,,Temple Terrace,0,0,1,0,0,0
,,Titusville,0,1,0,0,0,0
,,West Palm Beach,0,1,0,0,0,0
,,West Park,1,0,0,0,0,0
,Universities and Colleges,,1,0,0,0,0,0
,,University of Florida,1,0,0,0,0,0
,Metropolitan Counties,,15,5,9,0,0,1
,,Brevard,1,0,2,0,0,0
,,Charlotte,1,0,0,0,0,0
,,Clay,2,0,0,0,0,0
,,Escambia,2,0,0,0,0,0
,,Hillsborough,1,0,0,0,0,0
,,Lake,1,0,0,0,0,0
,,Lee,1,0,1,0,0,0
,,Miami-Dade,0,1,0,0,0,0
,,Orange,0,1,1,0,0,1
,,Osceola,1,0,0,0,0,0
,,Palm Beach,0,1,0,0,0,0
,,Pasco,0,0,1,0,0,0
,,Pinellas,1,0,1,0,0,0
,,Seminole,0,1,0,0,0,0
,,St. Johns,0,0,1,0,0,0
,,St. Lucie,0,1,0,0,0,0
,,Volusia,4,0,2,0,0,0
Georgia,Total,,25,2,12,0,0,0
,Cities,,1,0,5,0,0,0
,,Atlanta,0,0,5,0,0,0
,,Conyers,1,0,0,0,0,0
,Universities and Colleges,,1,0,0,0,0,0
,,University of Georgia,1,0,0,0,0,0
,Metropolitan Counties,,23,2,7,0,0,0
,,Cobb County Police Department,19,2,4,0,0,0
,,Fulton County Police Department,0,0,1,0,0,0
,,Gwinnett County Police Department,4,0,2,0,0,0
Idaho,Total,,16,7,4,0,0,0
,Cities,,13,6,3,0,0,0
,,Blackfoot,0,0,1,0,0,0
,,Boise,0,2,1,0,0,0
,,Chubbuck,1,0,0,0,0,0
,,Coeur d'Alene,3,2,0,0,0,0
,,Meridian,1,1,0,0,0,0
,,Moscow,0,0,1,0,0,0
,,Mountain Home,1,0,0,0,0,0
,,Nampa,2,0,0,0,0,0
,,Payette,0,1,0,0,0,0
,,Pocatello,3,0,0,0,0,0
,,Twin Falls,2,0,0,0,0,0
,Metropolitan Counties,,2,1,1,0,0,0
,,Ada,0,1,0,0,0,0
,,Canyon,2,0,1,0,0,0
,Nonmetropolitan Counties,,1,0,0,0,0,0
,,Benewah,1,0,0,0,0,0
Illinois,Total,,73,13,21,0,1,3
,Cities,,71,12,20,0,0,3
,,Algonquin,2,0,0,0,0,0
,,Aurora,3,0,0,0,0,0
,,Berwyn,3,0,0,0,0,0
,,Bradley,3,0,0,0,0,0
,,Braidwood,1,0,0,0,0,0
,,Centralia,1,0,0,0,0,0
,,Champaign,1,0,1,0,0,0
,,Charleston,1,0,0,0,0,0
,,Chicago,26,9,14,0,0,2
,,Collinsville,1,0,0,0,0,0
,,Crete,0,0,1,0,0,0
,,Crystal Lake,1,0,0,0,0,0
,,De Kalb,1,0,0,0,0,0
,,Downers Grove,1,0,0,0,0,0
,,Effingham,1,1,0,0,0,0
,,Elk Grove Village,1,0,0,0,0,0
,,Flossmoor,1,0,0,0,0,0
,,Glenwood,1,0,0,0,0,0
,,Grayslake,1,0,0,0,0,0
,,Homewood,1,0,0,0,0,0
,,Joliet,1,0,1,0,0,0
,,Mokena,1,0,0,0,0,0
,,Monmouth,1,0,0,0,0,0
,,Morrison,0,0,1,0,0,0
,,New Lenox,1,0,0,0,0,0
,,Normal,3,0,0,0,0,0
,,Oak Lawn,1,0,0,0,0,0
,,Pekin,1,0,0,0,0,0
,,Peoria,1,0,0,0,0,0
,,Plainfield,1,1,0,0,0,0
,,Robinson,1,0,0,0,0,0
,,Rockford,3,0,2,0,0,0
,,Salem,1,0,0,0,0,0
,,Springfield,2,0,0,0,0,0
,,Urbana,0,1,0,0,0,0
,,West Chicago,1,0,0,0,0,0
,,Wheeling,0,0,0,0,0,1
,,Woodstock,1,0,0,0,0,0
,Universities and Colleges,,1,0,0,0,0,0
,,"Southern Illinois University, Carbondale",1,0,0,0,0,0
,Metropolitan Counties,,1,1,1,0,1,0
,,Champaign,0,1,0,0,1,0
,,Sangamon,1,0,0,0,0,0
,,Will,0,0,1,0,0,0
Indiana,Total,,52,11,14,0,1,0
,Cities,,42,5,11,0,0,0
,,Anderson,0,0,1,0,0,0
,,Bloomington,7,0,2,0,0,0
,,Fort Wayne,2,0,2,0,0,0
,,Indianapolis,20,3,5,0,0,0
,,La Porte,2,0,0,0,0,0
,,Muncie,1,0,0,0,0,0
,,Munster,0,1,0,0,0,0
,,Plainfield,0,1,0,0,0,0
,,South Bend,10,0,0,0,0,0
,,Westville,0,0,1,0,0,0
,Universities and Colleges,,3,0,2,0,0,0
,,Ball State University,1,0,0,0,0,0
,,"Indiana University, Indianapolis",1,0,0,0,0,0
,,Purdue University,1,0,2,0,0,0
,Metropolitan Counties,,1,0,1,0,0,0
,,Brown,0,0,1,0,0,0
,,Porter,1,0,0,0,0,0
,Nonmetropolitan Counties,,0,0,0,0,1,0
,,Dubois,0,0,0,0,1,0
,State Police Agencies,,6,6,0,0,0,0
,,Indiana State Police ,3,0,0,0,0,0
,,State Police:,,,,,,
,,Daviess County,0,1,0,0,0,0
,,Marion County,1,1,0,0,0,0
,,Monroe County,0,2,0,0,0,0
,,Putnam County,1,0,0,0,0,0
,,Scott County,1,0,0,0,0,0
,,Vanderburgh County,0,1,0,0,0,0
,,Washington County,0,1,0,0,0,0
Iowa,Total,,13,2,2,0,0,0
,Cities,,10,2,1,0,0,0
,,Boone,1,0,0,0,0,0
,,Clinton,0,1,0,0,0,0
,,Des Moines,2,1,0,0,0,0
,,Dubuque,1,0,0,0,0,0
,,Iowa City,3,0,0,0,0,0
,,Newton,1,0,0,0,0,0
,,North Liberty,1,0,0,0,0,0
,,Oskaloosa,1,0,0,0,0,0
,,West Des Moines,0,0,1,0,0,0
,Universities and Colleges,,3,0,0,0,0,0
,,Iowa State University,1,0,0,0,0,0
,,University of Iowa,2,0,0,0,0,0
,Metropolitan Counties,,0,0,1,0,0,0
,,Linn,0,0,1,0,0,0
Kansas,Total,,36,5,5,3,0,0
,Cities,,27,3,4,2,0,0
,,Andover,1,0,0,0,0,0
,,Chanute,1,0,0,0,0,0
,,Coffeyville,0,0,0,1,0,0
,,Dodge City,2,0,0,1,0,0
,,Edwardsville,1,0,0,0,0,0
,,El Dorado,1,1,0,0,0,0
,,Elwood,1,0,0,0,0,0
,,Garden City,0,0,1,0,0,0
,,Hays,1,0,0,0,0,0
,,Hiawatha,1,0,0,0,0,0
,,Hutchinson,0,0,1,0,0,0
,,Independence,1,0,0,0,0,0
,,Lenexa,1,0,0,0,0,0
,,Newton,2,0,0,0,0,0
,,Oakley,1,0,0,0,0,0
,,Ottawa,1,0,0,0,0,0
,,Overland Park,2,2,0,0,0,0
,,Pittsburg,1,0,0,0,0,0
,,Pratt,1,0,0,0,0,0
,,Salina,3,0,0,0,0,0
,,Wichita,5,0,2,0,0,0
,Universities and Colleges,,3,0,0,0,0,0
,,"University of Kansas, Medical Center3",1,0,0,0,0,0
,,Washburn University,1,0,0,0,0,0
,,Wichita State University,1,0,0,0,0,0
,Metropolitan Counties,,5,2,1,0,0,0
,,Linn,1,0,0,0,0,0
,,Riley County Police Department,2,1,1,0,0,0
,,Shawnee,1,1,0,0,0,0
,,Wabaunsee,1,0,0,0,0,0
,Nonmetropolitan Counties,,1,0,0,1,0,0
,,Greeley,0,0,0,1,0,0
,,Reno,1,0,0,0,0,0
Kentucky,Total,,135,43,22,2,1,3
,Cities,,100,30,19,1,1,3
,,Alexandria,1,0,0,0,0,0
,,Ashland,0,1,0,0,0,0
,,Audubon Park,1,0,0,0,0,0
,,Bellevue,1,0,1,0,0,0
,,Benton,0,1,1,0,0,0
,,Berea,2,1,0,0,0,0
,,Bowling Green,6,2,3,0,0,0
,,Cave City,1,0,0,0,0,0
,,Cloverport,1,0,0,0,0,0
,,Covington,4,3,3,0,0,0
,,Cynthiana,1,0,0,0,0,0
,,Elizabethtown,0,0,1,0,0,0
,,Elkton,0,1,0,0,0,0
,,Elsmere,2,0,1,0,0,0
,,Fort Mitchell,0,0,1,0,0,0
,,Frankfort,2,1,0,0,0,0
,,Franklin,2,0,0,0,0,0
,,Georgetown,3,0,0,0,0,0
,,Glasgow,1,0,1,0,0,0
,,Henderson,2,0,0,0,0,0
,,Highland Heights,0,1,0,0,0,0
,,Hopkinsville,5,0,0,0,0,0
,,Lakeside Park-Crestview Hills,0,0,1,0,0,0
,,Lancaster,1,0,0,0,0,0
,,Lexington,26,9,4,1,1,0
,,Louisville Metro,5,3,1,0,0,2
,,Loyall,1,0,0,0,0,0
,,Madisonville,2,2,0,0,0,0
,,Mayfield,2,0,0,0,0,0
,,Mount Washington,3,0,0,0,0,0
,,Murray,1,1,0,0,0,0
,,Nicholasville,5,1,0,0,0,0
,,Owensboro,4,0,0,0,0,0
,,Paducah,2,1,0,0,0,0
,,Paris,0,1,0,0,0,0
,,Radcliff,3,0,0,0,0,1
,,Richmond,1,0,0,0,0,0
,,Shelbyville,2,0,0,0,0,0
,,Shively,0,0,1,0,0,0
,,Stanton,0,1,0,0,0,0
,,St. Matthews,3,0,0,0,0,0
,,Versailles,1,0,0,0,0,0
,,Winchester,3,0,0,0,0,0
,Universities and Colleges,,3,1,2,0,0,0
,,Eastern Kentucky University,1,0,0,0,0,0
,,Murray State University,0,1,0,0,0,0
,,University of Kentucky,1,0,0,0,0,0
,,University of Louisville,0,0,2,0,0,0
,,Western Kentucky University,1,0,0,0,0,0
,Metropolitan Counties,,14,4,1,1,0,0
,,Boone,1,0,1,0,0,0
,,Boyd,1,0,0,0,0,0
,,Bracken,0,0,0,1,0,0
,,Bullitt,4,0,0,0,0,0
,,Campbell County Police Department,1,0,0,0,0,0
,,Christian,1,0,0,0,0,0
,,Daviess,1,1,0,0,0,0
,,Hardin,1,0,0,0,0,0
,,Jefferson,0,1,0,0,0,0
,,Kenton,1,0,0,0,0,0
,,Oldham County Police Department,1,0,0,0,0,0
,,Pendleton,0,1,0,0,0,0
,,Shelby,1,1,0,0,0,0
,,Spencer,1,0,0,0,0,0
,Nonmetropolitan Counties,,10,1,0,0,0,0
,,Anderson,1,0,0,0,0,0
,,Franklin,1,1,0,0,0,0
,,Letcher,1,0,0,0,0,0
,,Mason,1,0,0,0,0,0
,,McCracken,1,0,0,0,0,0
,,McCreary,1,0,0,0,0,0
,,Muhlenberg County Police Department,2,0,0,0,0,0
,,Nelson,1,0,0,0,0,0
,,Wolfe,1,0,0,0,0,0
,State Police Agencies,,5,6,0,0,0,0
,,State Police:,,,,,,
,,Bowling Green,1,3,0,0,0,0
,,Harlan,0,1,0,0,0,0
,,Hazard,2,0,0,0,0,0
,,Henderson,1,1,0,0,0,0
,,Mayfield,1,0,0,0,0,0
,,Richmond,0,1,0,0,0,0
,Other Agencies,,3,1,0,0,0,0
,,Fayette County Schools,2,0,0,0,0,0
,,Jefferson County School District,1,1,0,0,0,0
Louisiana,Total,,20,3,4,0,0,0
,Cities,,7,2,2,0,0,0
,,Baton Rouge,2,0,1,0,0,0
,,New Orleans2,3,2,1,0,0,0
,,Thibodaux,1,0,0,0,0,0
,,Westlake,1,0,0,0,0,0
,Metropolitan Counties,,11,1,2,0,0,0
,,Bossier,1,0,1,0,0,0
,,Caddo,0,1,0,0,0,0
,,St. Charles,6,0,0,0,0,0
,,St. John the Baptist,4,0,1,0,0,0
,Nonmetropolitan Counties,,2,0,0,0,0,0
,,Avoyelles,1,0,0,0,0,0
,,Madison,1,0,0,0,0,0
Maine,Total,,21,11,8,0,0,0
,Cities,,16,10,6,0,0,0
,,Augusta,0,1,1,0,0,0
,,Biddeford,0,1,0,0,0,0
,,Farmington,0,0,1,0,0,0
,,Lewiston,2,0,0,0,0,0
,,Lincoln,1,0,0,0,0,0
,,Old Orchard Beach,1,0,0,0,0,0
,,Portland,6,3,2,0,0,0
,,Saco,4,2,0,0,0,0
,,Sanford,1,0,1,0,0,0
