state,total,place,race,religion,sexual_orientation,ethnicity,disability
,,Los Alamitos,1,0,0,0,0
,,Los Angeles,74,57,36,23,0
,,Los Gatos,0,0,0,1,0
,,Malibu,0,1,0,0,0
,,Mammoth Lakes,0,0,0,1,0
,,Manhattan Beach,1,0,0,0,0
,,Marina,1,0,0,0,0
,,Marysville,0,0,0,1,0
,,Millbrae,1,0,0,0,0
,,Milpitas,0,0,1,0,0
,,Mission Viejo,0,1,0,1,0
,,Modesto,0,1,0,0,0
,,Monrovia,0,1,1,0,0
,,Monterey Park,0,1,0,0,0
,,Moorpark,0,0,0,1,0
,,Moraga,1,0,0,0,0
,,Moreno Valley,4,0,0,1,0
,,Morro Bay,1,0,0,0,0
,,Mountain View,1,0,0,1,0
,,Mount Shasta,1,0,0,0,0
,,Newark,0,0,0,1,0
,,Newport Beach,2,0,1,2,0
,,Norwalk,0,0,1,1,0
,,Novato,1,0,0,0,0
,,Oakland,4,1,10,3,0
,,Oceanside,4,1,1,1,0
,,Ontario,2,0,0,0,0
,,Orange,3,1,0,0,0
,,Orinda,2,0,0,0,0
,,Oroville,1,0,0,0,0
,,Oxnard,1,0,2,0,1
,,Pacifica,0,0,1,0,0
,,Pacific Grove,1,0,0,0,0
,,Palmdale,6,1,1,1,1
,,Palm Springs,0,1,3,0,0
,,Palo Alto,1,1,1,1,0
,,Palos Verdes Estates,1,0,0,0,0
,,Paramount,1,0,0,1,0
,,Pasadena,2,1,1,1,0
,,Pico Rivera,1,0,0,0,0
,,Placentia,1,0,0,0,0
,,Placerville,2,2,0,0,0
,,Pleasant Hill,3,0,0,0,0
,,Pomona,4,0,0,0,0
,,Porterville,0,0,0,1,0
,,Poway,2,1,0,0,0
,,Rancho Palos Verdes,2,0,0,0,0
,,Redding,10,0,1,2,0
,,Redlands,0,0,1,0,0
,,Redondo Beach,3,0,0,2,0
,,Redwood City3,4,0,0,1,0
,,Richmond,3,1,0,0,0
,,Rio Vista,0,0,0,1,0
,,Riverside,2,4,2,2,0
,,Roseville,1,0,0,2,0
,,Sacramento,2,1,5,1,0
,,Salinas,2,1,0,0,0
,,San Bernardino,3,0,0,1,0
,,San Diego,12,7,15,8,1
,,San Fernando,0,1,0,0,0
,,San Francisco,4,10,6,3,0
,,San Jacinto,1,0,0,0,0
,,San Jose,23,7,9,1,0
,,San Juan Capistrano,1,0,0,0,0
,,San Leandro,0,0,1,0,0
,,San Luis Obispo,2,0,5,0,0
,,San Marcos,1,0,1,0,0
,,San Mateo,1,0,0,2,0
,,San Rafael,5,0,2,0,0
,,Santa Ana,1,0,2,0,0
,,Santa Barbara,3,1,1,0,0
,,Santa Clara,0,0,1,0,0
,,Santa Clarita,5,1,3,3,0
,,Santa Cruz,1,3,4,0,0
,,Santa Maria,1,0,0,0,0
,,Santa Monica,1,0,1,1,0
,,Santa Paula,0,0,2,1,0
,,Santa Rosa,1,0,0,0,0
,,Santee,4,0,0,1,0
,,Saratoga,0,1,0,0,0
,,Scotts Valley,0,1,0,0,0
,,Soledad,0,0,0,1,0
,,Sonora,1,0,0,0,0
,,South El Monte,1,0,0,0,0
,,South Gate,2,0,0,0,0
,,Stockton,2,1,0,0,0
,,Sunnyvale,1,1,0,0,0
,,Tehachapi,0,0,0,1,0
,,Temecula,1,0,0,0,0
,,Temple City,0,0,0,1,0
,,Thousand Oaks,2,6,2,1,0
,,Torrance,4,3,0,1,0
,,Tracy,1,0,0,0,0
,,Tulare,1,0,0,0,0
,,Turlock,2,0,1,2,0
,,Tustin,0,1,0,0,0
,,Twin Cities,0,0,1,0,0
,,Union City,2,0,1,0,0
,,Upland,0,0,0,1,0
,,Vacaville,3,0,0,2,0
,,Vallejo,2,0,1,1,0
,,Ventura,0,0,1,0,0
,,Visalia,2,1,3,0,0
,,Vista,2,0,1,0,0
,,Walnut Creek,5,0,0,0,0
,,Watsonville,0,0,2,0,0
,,West Covina,2,1,1,0,0
,,West Hollywood,0,3,6,0,0
,,Westminster,2,4,0,0,0
,,West Sacramento,0,1,0,1,0
,,Whittier,1,3,1,0,0
,,Wildomar,0,1,0,0,0
,,Woodlake,1,0,0,0,0
,,Yuba City,1,0,0,0,0
,,Yucaipa,0,1,0,0,0
,Universities and Colleges,,10,8,8,2,0
,,California State University:,,,,,
,,Dominguez Hills,1,0,0,0,0
,,Fullerton,0,0,1,0,0
,,Monterey Bay,1,0,1,0,0
,,Northridge,1,0,0,0,0
,,San Jose4,2,1,1,0,0
,,Contra Costa Community College,1,0,0,0,0
,,San Diego State University,0,0,0,1,0
,,University of California:,,,,,
,,Berkeley,1,1,1,0,0
,,Davis,1,1,0,0,0
,,Los Angeles,0,0,1,0,0
,,Riverside,1,1,0,1,0
,,San Diego,0,2,2,0,0
,,Santa Cruz,1,2,1,0,0
,Metropolitan Counties,,60,14,23,17,0
,,Contra Costa,0,0,1,0,0
,,El Dorado,1,0,1,0,0
,,Kern,7,0,1,7,0
,,Los Angeles,14,5,10,4,0
,,Madera,1,0,0,0,0
,,Orange,1,1,1,1,0
,,Placer,1,0,1,0,0
,,Riverside,11,2,1,1,0
,,Sacramento,6,1,1,2,0
,,San Bernardino,4,0,0,0,0
,,San Diego,7,1,4,0,0
,,San Luis Obispo,1,0,0,0,0
,,Santa Barbara,1,2,0,0,0
,,Santa Clara,1,0,0,0,0
,,Santa Cruz,0,0,0,1,0
,,Shasta,1,0,0,0,0
,,Solano,1,0,0,0,0
,,Stanislaus,0,0,1,0,0
,,Sutter,0,1,0,0,0
,,Ventura,2,1,0,1,0
,,Yuba,0,0,1,0,0
,Nonmetropolitan Counties,,5,0,2,0,0
,,Amador,2,0,1,0,0
,,Humboldt,1,0,1,0,0
,,Lake,1,0,0,0,0
,,Mendocino,1,0,0,0,0
,Other Agencies,,4,0,2,1,0
,,Department of Parks and Recreation:,,,,,
,,Gold Fields District,1,0,0,0,0
,,San Luis Obispo Coast,1,0,0,0,0
,,Los Angeles Transportation Services Bureau,1,0,1,0,0
,,Port of San Diego Harbor,0,0,0,1,0
,,San Francisco Bay Area Rapid Transit:,,,,,
,,Contra Costa County,1,0,0,0,0
,,San Francisco County,0,0,1,0,0
COLORADO,Total,,110,16,28,51,3
,Cities,,94,13,19,39,3
,,Arvada,0,1,1,0,0
,,Aspen,1,0,0,0,0
,,Aurora,3,2,0,1,0
,,Basalt,0,0,0,1,0
,,Berthoud,0,0,1,0,0
,,Boulder,3,1,0,1,0
,,Broomfield,0,1,0,0,0
,,Canon City,2,0,0,1,0
,,Castle Rock,1,0,0,0,0
,,Centennial,1,1,0,1,0
,,Colorado Springs,16,0,4,3,0
,,Commerce City,0,0,1,0,0
,,Craig,1,0,0,1,0
,,Denver,36,5,9,9,2
,,Eaton,0,0,0,1,0
,,Englewood,1,0,0,0,0
,,Estes Park,2,0,0,0,0
,,Fort Collins,2,0,0,6,0
,,Fort Morgan,2,0,0,0,0
,,Fountain,1,0,0,1,0
,,Fruita,0,0,0,1,0
,,Glenwood Springs,0,0,0,1,0
,,Grand Junction,1,0,0,0,0
,,Greeley,1,0,0,2,0
,,Gunnison,1,0,0,0,0
,,Lafayette,1,0,0,0,0
,,Lakewood,0,0,1,0,0
,,Leadville,1,0,0,0,0
,,Littleton,0,0,0,1,0
,,Lone Tree,2,0,0,1,0
,,Longmont3,3,1,1,3,0
,,Louisville,1,0,1,0,0
,,Loveland,2,0,0,2,0
,,Montrose,1,0,0,0,0
,,Mount Crested Butte,0,0,0,1,0
,,Northglenn,2,0,0,0,0
,,Pueblo,2,1,0,0,1
,,Steamboat Springs,1,0,0,1,0
,,Trinidad,2,0,0,0,0
,,Westminster,1,0,0,0,0
,Universities and Colleges,,1,1,0,1,0
,,"Colorado State University, Fort Collins",0,1,0,1,0
,,"University of Colorado, Boulder",1,0,0,0,0
,Metropolitan Counties,,11,2,8,10,0
,,Adams,3,0,1,0,0
,,Arapahoe,1,0,3,1,0
,,Douglas,2,0,2,3,0
,,Jefferson,0,0,1,0,0
,,Larimer,3,1,1,3,0
,,Mesa,0,0,0,2,0
,,Park,1,0,0,0,0
,,Weld,1,1,0,1,0
,Nonmetropolitan Counties,,4,0,1,1,0
,,Bent,1,0,0,0,0
,,Chaffee,0,0,1,0,0
,,Custer,1,0,0,0,0
,,Montrose,0,0,0,1,0
,,Summit,2,0,0,0,0
CONNECTICUT,Total,,104,43,28,22,2
,Cities,,96,39,26,18,2
,,Bridgeport,1,2,0,3,0
,,Bristol,2,1,1,0,0
,,Canton,1,0,0,0,0
,,Cheshire,4,0,1,0,0
,,Clinton,0,0,1,0,0
,,Coventry,11,3,0,1,0
,,Danbury,1,0,0,1,0
,,Derby,0,1,0,0,0
,,Easton,0,1,0,0,0
,,Enfield,2,0,0,0,0
,,Farmington,2,0,1,0,0
,,Glastonbury,0,0,1,0,0
,,Greenwich,0,2,0,0,0
,,Groton Town,2,0,0,1,0
,,Guilford,0,0,1,0,0
,,Hartford,0,1,4,0,0
,,Madison,1,0,0,0,0
,,Manchester,22,4,3,5,1
,,Meriden,3,1,0,0,0
,,Middlebury,1,0,0,0,0
,,Middletown,2,0,0,0,0
,,Milford,3,2,0,0,0
,,Naugatuck,2,2,0,0,0
,,New Britain,2,1,0,0,0
,,New Haven,10,1,5,0,0
,,Newington,0,0,0,1,0
,,New London,0,2,0,0,0
,,Newtown,1,1,0,1,0
,,Norwalk,3,0,1,1,0
,,Norwich,0,0,1,1,0
,,Shelton,1,0,1,0,0
,,Simsbury,1,1,0,0,0
,,Southington,0,1,1,0,0
,,Stratford,3,0,1,0,0
,,Torrington,3,1,0,0,0
,,Wallingford,2,3,0,0,0
,,Waterford,0,1,0,0,1
,,Watertown,1,0,0,0,0
,,West Hartford3,0,1,2,1,0
,,West Haven,3,3,0,1,0
,,Westport,4,2,0,0,0
,,Willimantic,0,0,0,1,0
,,Winchester,2,0,0,0,0
,,Windsor Locks,0,1,1,0,0
,Universities and Colleges,,3,1,0,0,0
,,Eastern Connecticut State University,3,0,0,0,0
,,"University of Connecticut, Storrs, Avery Point, and Hartford4",0,1,0,0,0
,State Police Agencies,,4,3,2,4,0
,,Connecticut State Police,4,3,2,4,0
,Other Agencies,,1,0,0,0,0
,,Metropolitan Transportation Authority,1,0,0,0,0
DELAWARE,Total,,20,10,3,4,0
,Cities,,2,4,1,2,0
,,Georgetown,0,0,0,1,0
,,Newark,1,4,0,0,0
,,Selbyville,0,0,0,1,0
,,Wilmington,1,0,1,0,0
,Universities and Colleges,,1,5,0,1,0
,,University of Delaware,1,5,0,1,0
,Metropolitan Counties,,4,0,1,1,0
,,New Castle County Police Department,4,0,1,1,0
,State Police Agencies,,13,1,1,0,0
,,State Police:,,,,,
,,Kent County,5,1,0,0,0
,,New Castle County,5,0,1,0,0
,,Sussex County,3,0,0,0,0
DISTRICT OF COLUMBIA,Total,,3,0,31,2,0
,Cities,,2,0,30,2,0
,,Washington,2,0,30,2,0
,Other Agencies,,1,0,1,0,0
,,Metro Transit Police,1,0,1,0,0
FLORIDA,Total,,68,21,28,13,0
,Cities,,47,11,23,8,0
,,Arcadia,1,0,0,0,0
,,Atlantic Beach,1,0,0,0,0
,,Aventura,0,1,0,0,0
,,Boca Raton,1,0,0,0,0
,,Chattahoochee,1,0,0,0,0
,,Coconut Creek,1,1,0,0,0
,,Coral Gables,3,0,0,0,0
,,Coral Springs,0,1,0,0,0
,,Dania,1,0,1,0,0
,,Davie,0,1,0,0,0
,,Daytona Beach Shores,0,0,1,0,0
,,Deerfield Beach,1,0,1,0,0
,,Edgewater,1,0,0,0,0
,,Gainesville,5,1,4,2,0
,,Graceville,1,0,0,0,0
,,Homestead,0,0,0,1,0
,,Jacksonville,2,0,0,0,0
,,Jasper,1,0,0,0,0
,,Jupiter,0,0,1,0,0
,,Key West,0,0,1,1,0
,,Largo,0,0,0,1,0
,,Longboat Key,0,1,0,0,0
,,Miami Beach,0,1,4,0,0
,,Miami Gardens,1,0,1,0,0
,,Miramar,0,0,2,0,0
,,New Port Richey,0,0,0,1,0
,,North Miami,1,1,0,0,0
,,North Port,4,0,0,1,0
,,Ocala,0,0,1,0,0
,,Ocoee,1,0,0,0,0
,,Orlando,1,0,0,0,0
,,Palm Bay,2,0,1,0,0
,,Palm Beach Gardens,2,2,0,0,0
,,Panama City,2,0,1,0,0
,,Pensacola,2,0,0,0,0
,,Pompano Beach,0,0,1,0,0
,,Port Orange,1,0,0,0,0
,,St. Petersburg,1,0,0,0,0
,,Sunrise,0,1,0,0,0
,,Tampa,3,0,2,0,0
,,Titusville,2,0,0,0,0
,,Wellington,1,0,0,0,0
,,Wilton Manors,3,0,1,0,0
,,Winter Haven,0,0,0,1,0
,Universities and Colleges,,1,1,0,1,0
,,University of Central Florida,0,0,0,1,0
,,University of Florida,0,1,0,0,0
,,University of West Florida,1,0,0,0,0
,Metropolitan Counties,,18,9,5,4,0
,,Alachua,3,1,1,0,0
,,Broward,2,0,0,0,0
,,Clay,1,1,0,0,0
,,Collier,0,2,0,1,0
,,Escambia,1,0,1,1,0
,,Hillsborough,2,0,1,0,0
,,Manatee,1,0,0,0,0
,,Martin,0,1,0,0,0
,,Okaloosa,1,1,0,0,0
,,Orange,2,1,1,1,0
,,Osceola,0,1,0,0,0
,,Palm Beach,1,1,0,0,0
,,Pasco,0,0,0,1,0
,,Santa Rosa,2,0,1,0,0
,,Wakulla,2,0,0,0,0
,Tribal Agencies,,1,0,0,0,0
,,Seminole Tribal,1,0,0,0,0
,Other Agencies,,1,0,0,0,0
,,Fort Lauderdale Airport,1,0,0,0,0
GEORGIA,Total,,6,1,4,0,0
,Cities,,3,0,0,0,0
,,Atlanta,1,0,0,0,0
,,Helen,1,0,0,0,0
,,Morrow,1,0,0,0,0
,Universities and Colleges,,3,1,4,0,0
,,University of Georgia,2,0,4,0,0
,,University of West Georgia,1,1,0,0,0
IDAHO,Total,,15,6,5,9,0
,Cities,,15,6,5,9,0
,,Bellevue,0,0,1,0,0
,,Boise,3,3,1,0,0
,,Caldwell,0,0,2,0,0
,,Coeur d'Alene,4,1,0,3,0
,,Hailey,1,1,0,0,0
,,Jerome,1,0,0,1,0
,,Moscow,1,0,0,0,0
,,Nampa,4,1,0,5,0
,,Pocatello,1,0,0,0,0
,,Twin Falls,0,0,1,0,0
ILLINOIS,Total,,76,20,22,11,0
,Cities,,66,19,15,11,0
,,Aurora,2,0,0,1,0
,,Batavia,1,0,0,0,0
,,Beardstown,1,0,0,1,0
,,Bloomington,1,0,1,0,0
,,Bolingbrook,0,1,0,0,0
,,Buffalo Grove,0,1,0,0,0
,,Burbank,1,0,0,0,0
,,Carol Stream,0,1,0,0,0
,,Chicago,9,6,8,4,0
,,Decatur,2,0,0,0,0
,,Des Plaines,1,0,0,0,0
,,Downers Grove,2,1,0,0,0
,,Elgin,1,0,1,0,0
,,Evanston,4,2,0,0,0
,,Genoa,0,1,0,0,0
,,Highwood,0,0,0,1,0
,,Jacksonville,1,0,0,0,0
,,Joliet,1,0,1,0,0
,,Kildeer,0,1,0,0,0
,,Lincolnwood,0,1,0,0,0
,,Lindenhurst,0,0,0,1,0
,,Litchfield,1,0,0,0,0
,,Lyons,2,0,0,0,0
,,Mascoutah,1,0,0,0,0
,,Monmouth,1,0,0,0,0
,,Mount Carroll,1,0,0,0,0
,,Mount Sterling,1,0,0,0,0
,,Naperville,1,0,0,0,0
,,New Lenox,1,0,0,1,0
,,Normal,2,0,0,0,0
,,Northfield,0,1,0,0,0
,,Park Ridge,1,0,0,0,0
,,Pekin,3,0,0,0,0
,,Peoria,2,0,0,0,0
,,Plainfield,1,0,0,0,0
,,Rantoul,1,0,0,0,0
,,Robinson,1,0,0,0,0
,,Rockford,8,1,2,0,0
,,Schaumburg,1,0,0,0,0
,,Shiloh,1,0,0,0,0
,,Skokie,0,1,0,1,0
,,Springfield,7,1,2,1,0
,,Tinley Park,1,0,0,0,0
,,Wood River,1,0,0,0,0
,Universities and Colleges,,4,1,5,0,0
,,College of DuPage,1,1,0,0,0
,,Northern Illinois University,3,0,0,0,0
,,"Southern Illinois University, Edwardsville",0,0,1,0,0
,,"University of Illinois, Springfield",0,0,1,0,0
,,Western Illinois University,0,0,3,0,0
,Metropolitan Counties,,5,0,2,0,0
,,Du Page,1,0,1,0,0
,,Peoria,2,0,0,0,0
,,Sangamon,2,0,1,0,0
,Nonmetropolitan Counties,,1,0,0,0,0
,,Knox,1,0,0,0,0
INDIANA,Total,,34,8,12,1,0
,Cities,,24,6,9,1,0
,,Bloomington,14,3,8,0,0
,,Clarksville,1,0,0,0,0
,,Fishers,0,0,0,1,0
,,Fort Wayne,2,1,0,0,0
,,Goshen,0,0,1,0,0
,,Greenwood,1,0,0,0,0
,,La Porte,1,0,0,0,0
,,Mishawaka,3,0,0,0,0
,,Munster,0,2,0,0,0
,,Plainfield,1,0,0,0,0
,,Walkerton,1,0,0,0,0
,Universities and Colleges,,5,2,3,0,0
,,Indiana State University,0,0,2,0,0
,,"Indiana University, Indianapolis4",4,1,0,0,0
,,Purdue University,1,1,1,0,0
,Metropolitan Counties,,3,0,0,0,0
,,Elkhart,1,0,0,0,0
,,Porter,2,0,0,0,0
,State Police Agencies,,2,0,0,0,0
,,Indiana State Police,2,0,0,0,0
IOWA,Total,,10,1,4,3,0
,Cities,,8,0,4,3,0
,,Ames,1,0,0,0,0
,,Bettendorf,0,0,0,1,0
,,Clarion,1,0,0,0,0
,,Davenport,3,0,2,0,0
,,Des Moines,0,0,1,0,0
,,Grinnell,0,0,1,0,0
,,Iowa City,1,0,0,0,0
,,Perry,1,0,0,1,0
,,Urbandale,1,0,0,0,0
,,Vinton,0,0,0,1,0
,Metropolitan Counties,,1,1,0,0,0
,,Linn,1,1,0,0,0
,Nonmetropolitan Counties,,1,0,0,0,0
,,Marshall,1,0,0,0,0
KANSAS,Total,,63,18,20,20,1
,Cities,,50,14,15,14,1
,,Abilene,0,0,0,1,0
,,Arma,0,0,1,0,0
,,Atchison,1,0,0,0,0
,,Augusta,1,0,0,0,0
,,Bonner Springs,0,0,0,1,0
,,Chanute,0,0,2,0,0
,,Colby,0,1,0,0,0
,,El Dorado,1,0,0,0,0
,,Fort Scott,3,0,0,0,0
,,Garden City,0,0,0,1,0
,,Goodland,0,0,1,0,0
,,Great Bend,0,0,0,1,0
,,Hesston,1,0,0,0,0
,,Hoisington,0,0,0,1,0
,,Hutchinson,3,5,0,1,0
,,Independence,0,0,0,1,0
,,Iola,1,0,1,0,0
,,Junction City,3,1,0,0,0
,,Lansing,3,0,0,0,0
,,Larned,1,0,0,0,0
,,Lawrence,1,1,0,0,0
,,Leavenworth,1,0,0,0,0
,,Leawood,1,0,0,0,1
,,Lenexa,2,0,0,0,0
,,Maize,1,0,0,0,0
,,Newton,1,1,0,0,0
,,Osawatomie,0,0,1,0,0
,,Oswego,0,0,1,0,0
,,Ottawa,0,1,0,0,0
,,Parsons,1,0,1,0,0
,,Pittsburg,0,0,1,0,0
,,Pratt,0,0,0,1,0
,,Salina,1,0,1,2,0
,,Shawnee,1,0,0,0,0
,,Valley Center,1,2,0,1,0
,,Wamego,1,0,0,0,0
,,Wellington,2,0,0,0,0
,,Wichita,18,2,5,3,0
,Universities and Colleges,,2,1,1,0,0
,,Kansas City Community College,1,0,0,0,0
,,Kansas State University,0,1,0,0,0
,,"University of Kansas, Medical Center4",0,0,1,0,0
,,Washburn University,1,0,0,0,0
,Metropolitan Counties,,6,1,2,4,0
,,Doniphan,0,1,0,0,0
,,Franklin,1,0,0,0,0
,,Jackson,1,0,0,1,0
,,Johnson,0,0,0,1,0
,,Pottawatomie,1,0,1,0,0
,,Riley County Police Department,0,0,0,1,0
,,Sedgwick,1,0,1,0,0
,,Shawnee,1,0,0,1,0
,,Sumner,1,0,0,0,0
,Nonmetropolitan Counties,,4,2,1,1,0
,,Chautauqua,1,0,0,0,0
,,Dickinson,1,0,0,0,0
,,Kearny,1,0,0,0,0
,,Labette,0,1,0,0,0
,,Lincoln,0,1,0,0,0
,,Reno,0,0,1,0,0
,,Seward,1,0,0,0,0
,,Wichita,0,0,0,1,0
,Other Agencies,,1,0,1,1,0
,,Kansas Department of Wildlife and Parks,1,0,0,0,0
,,Unified School District:,,,,,
,,Goddard,0,0,0,1,0
,,Maize,0,0,1,0,0
KENTUCKY,Total,,95,11,24,18,2
,Cities,,59,5,12,12,2
,,Audubon Park,1,0,0,0,0
,,Barbourville,0,0,1,0,0
,,Bardstown,2,0,0,0,0
,,Bellevue,1,0,1,0,0
,,Berea,0,1,0,0,0
,,Bowling Green,5,0,0,0,0
,,Campbellsville,1,0,0,0,0
,,Covington,4,1,1,3,0
,,Cynthiana,1,0,0,0,0
,,Danville,1,0,0,0,0
,,Dayton,0,1,1,0,0
,,Elizabethtown,2,1,1,0,0
,,Elkton,0,0,0,1,0
,,Elsmere,1,0,0,0,0
,,Erlanger,2,0,0,0,0
,,Falmouth,1,0,0,0,0
,,Florence,0,0,1,2,0
,,Fulton,1,0,0,0,0
,,Glasgow,1,0,0,0,0
,,Hardinsburg,1,0,0,0,0
,,Harrodsburg,1,0,0,0,0
,,Hopkinsville,4,0,1,1,0
,,Independence,1,0,0,0,0
,,Irvine,0,0,0,1,0
