state,total,place,race,religion,sexual_orientation,ethnicity,disability
,,Tustin,3,1,0,0,0
,,Upland,1,0,0,0,0
,,Vacaville,1,2,1,0,0
,,Vallejo,3,2,2,1,0
,,Ventura,2,0,1,0,0
,,Vernon,0,2,0,0,0
,,Visalia,1,1,1,0,0
,,Vista,2,0,0,1,0
,,Walnut,1,0,0,0,0
,,Walnut Creek,0,0,1,0,0
,,Watsonville,1,0,1,0,0
,,West Covina,2,0,0,0,0
,,West Hollywood,2,2,6,0,0
,,Westlake Village,0,0,0,1,0
,,Westminster,1,1,0,0,0
,,West Sacramento,0,0,0,2,0
,,Whittier,2,1,1,0,0
,,Woodland,2,0,0,2,0
,,Yreka,1,0,0,0,0
,,Yuba City,0,0,1,0,0
,Universities and Colleges,,20,14,5,7,0
,,"California State Polytechnic University, Pomona",1,0,0,0,0
,,California State University:,,,,,
,,Dominguez Hills,1,0,0,0,0
,,Fullerton,0,0,1,0,0
,,Long Beach,1,0,0,0,0
,,Los Angeles,0,0,1,2,0
,,Sacramento,1,0,0,0,0
,,Humboldt State University,0,0,0,2,0
,,Pasadena Community College,1,0,0,0,0
,,Riverside Community College,6,0,0,0,0
,,San Diego State University,1,0,2,0,0
,,San Francisco State University,0,3,1,2,0
,,Santa Rosa Junior College,2,0,0,0,0
,,University of California:,,,,,
,,Berkeley,1,3,0,1,0
,,Los Angeles,1,0,0,0,0
,,Riverside,2,3,0,0,0
,,Santa Cruz,2,5,0,0,0
,Metropolitan Counties,,72,21,26,24,0
,,Butte,1,1,0,0,0
,,El Dorado,2,0,0,0,0
,,Kern,6,1,2,5,0
,,Los Angeles,24,6,6,11,0
,,Marin,0,2,0,0,0
,,Monterey,3,0,1,0,0
,,Orange,4,1,0,1,0
,,Riverside,6,1,3,2,0
,,Sacramento,11,2,2,2,0
,,San Benito,1,0,0,0,0
,,San Bernardino,0,0,0,1,0
,,San Diego,5,1,2,0,0
,,San Joaquin,0,0,1,0,0
,,San Luis Obispo,1,0,0,0,0
,,Santa Barbara,0,0,1,0,0
,,Santa Clara,1,1,2,1,0
,,Santa Cruz,1,2,0,0,0
,,Shasta,1,0,0,0,0
,,Sonoma,0,2,2,1,0
,,Stanislaus,0,0,1,0,0
,,Ventura,3,1,3,0,0
,,Yuba,2,0,0,0,0
,Nonmetropolitan Counties,,8,3,0,0,0
,,Colusa,1,0,0,0,0
,,Glenn,1,0,0,0,0
,,Inyo,0,1,0,0,0
,,Lake,1,1,0,0,0
,,Mariposa,2,0,0,0,0
,,Mendocino,1,0,0,0,0
,,Mono,1,0,0,0,0
,,Tuolumne,1,1,0,0,0
,Other Agencies,,3,0,1,1,0
,,Los Angeles Transportation Services Bureau,2,0,0,1,0
,,"San Francisco Bay Area Rapid Transit, Alameda County",0,0,1,0,0
,,Santa Clara Transit District,1,0,0,0,0
COLORADO,Total,,67,24,24,32,2
,Cities,,60,22,23,25,2
,,Arvada,1,0,0,1,0
,,Aurora,1,1,1,1,0
,,Berthoud,1,0,0,0,0
,,Boulder,3,0,0,2,0
,,Brighton,0,0,0,1,0
,,Canon City,1,0,0,0,0
,,Castle Rock,0,0,0,1,0
,,Centennial,0,3,0,1,0
,,Center,0,0,1,0,0
,,Central City,2,0,0,0,0
,,Colorado Springs,11,1,1,1,0
,,Commerce City,0,1,0,1,0
,,Cortez,1,0,0,0,0
,,Craig,1,0,0,0,0
,,Crested Butte,1,0,0,0,0
,,Dacono,0,0,0,1,0
,,Denver,11,12,9,4,1
,,Englewood,1,2,0,0,0
,,Estes Park,0,0,0,1,0
,,Federal Heights,0,0,1,0,0
,,Fort Collins,5,0,0,0,0
,,Fraser-Winter Park,0,0,0,1,0
,,Frisco,0,0,0,1,0
,,Fruita,1,0,0,0,0
,,Glendale,1,0,0,0,0
,,Glenwood Springs,0,0,0,2,0
,,Grand Junction,3,0,2,1,0
,,Greeley,6,0,3,0,0
,,Lafayette,1,0,0,2,0
,,Lakewood,1,0,3,1,0
,,Loveland,2,0,0,0,0
,,Montrose,0,0,0,1,0
,,New Castle,1,0,0,0,0
,,Parachute,1,0,0,0,0
,,Parker,0,0,1,0,0
,,Silverthorne,1,0,0,0,0
,,Steamboat Springs,1,0,0,0,0
,,Thornton,1,2,0,1,0
,,Wheat Ridge,0,0,1,0,0
,,Wiggins,0,0,0,0,1
,Universities and Colleges,,1,0,0,0,0
,,Fort Lewis College,1,0,0,0,0
,Metropolitan Counties,,6,2,1,6,0
,,Adams,1,0,1,1,0
,,Arapahoe,4,1,0,1,0
,,Jefferson,0,1,0,0,0
,,Mesa,0,0,0,2,0
,,Park,1,0,0,0,0
,,Weld,0,0,0,2,0
,Other Agencies,,0,0,0,1,0
,,Colorado Mental Health Institute,0,0,0,1,0
CONNECTICUT,Total,,91,32,18,23,0
,Cities,,83,31,14,20,0
,,Berlin,0,1,0,0,0
,,Bethel,1,0,0,1,0
,,Bloomfield,0,0,0,1,0
,,Bridgeport,2,0,2,0,0
,,Bristol,0,0,0,1,0
,,Canton,1,0,0,0,0
,,Cheshire,3,0,1,0,0
,,Coventry,0,1,0,0,0
,,Cromwell,1,0,0,0,0
,,Danbury,1,1,0,1,0
,,Derby,4,0,0,0,0
,,East Hampton,1,0,0,0,0
,,East Hartford,2,0,0,0,0
,,East Windsor,1,0,0,0,0
,,Enfield,1,0,0,1,0
,,Fairfield,0,0,1,0,0
,,Glastonbury,2,0,0,0,0
,,Granby,1,0,0,0,0
,,Groton Town,4,0,1,1,0
,,Hamden,2,0,0,0,0
,,Hartford,2,1,0,0,0
,,Manchester,16,0,1,2,0
,,Meriden,1,0,0,0,0
,,Middletown,2,0,1,0,0
,,Milford,0,1,0,0,0
,,Naugatuck,2,0,0,0,0
,,New Britain,0,0,0,1,0
,,New Haven,5,5,4,2,0
,,New Milford,1,0,0,0,0
,,Newtown,2,0,0,0,0
,,Norwalk,1,0,1,1,0
,,Norwich,5,0,0,0,0
,,Plainfield,0,0,0,1,0
,,Plymouth,1,0,0,0,0
,,Redding,0,1,0,0,0
,,Seymour,4,0,0,0,0
,,Shelton,0,1,0,0,0
,,Simsbury,1,0,0,0,0
,,Southington,4,4,0,3,0
,,Stamford,0,0,0,2,0
,,Stonington,1,0,0,0,0
,,Stratford,0,2,0,2,0
,,Suffield,0,0,1,0,0
,,Torrington,1,4,1,0,0
,,Vernon,0,1,0,0,0
,,Wallingford,0,1,0,0,0
,,Waterford,1,0,0,0,0
,,West Hartford,1,3,0,0,0
,,West Haven,1,1,0,0,0
,,Westport,2,2,0,0,0
,,Wilton,1,0,0,0,0
,,Winchester,0,1,0,0,0
,,Windsor,1,0,0,0,0
,Universities and Colleges,,2,0,1,0,0
,,Central Connecticut State University,0,0,1,0,0
,,Southern Connecticut State University,1,0,0,0,0
,,"University of Connecticut, Health Center",1,0,0,0,0
,State Police Agencies,,6,1,3,3,0
,,Connecticut State Police,6,1,3,3,0
DELAWARE,Total,,33,13,6,6,0
,Cities,,12,2,3,5,0
,,Camden,1,0,0,0,0
,,Dewey Beach,1,0,0,0,0
,,Dover,1,1,0,0,0
,,Georgetown,2,0,0,3,0
,,Milton,3,0,0,0,0
,,Newark,0,0,1,0,0
,,New Castle,1,0,0,0,0
,,Rehoboth Beach,0,0,1,0,0
,,Smyrna,1,0,0,0,0
,,Wilmington,2,1,1,2,0
,Universities and Colleges,,3,8,0,0,0
,,Delaware State University,1,0,0,0,0
,,University of Delaware,2,8,0,0,0
,Metropolitan Counties,,3,1,0,0,0
,,New Castle County Police Department,3,1,0,0,0
,State Police Agencies,,14,2,3,1,0
,,State Police:,,,,,
,,Kent County,6,0,0,0,0
,,New Castle County,6,1,0,1,0
,,Sussex County,2,1,3,0,0
,Other Agencies,,1,0,0,0,0
,,State Capitol Police,1,0,0,0,0
DISTRICT OF COLUMBIA,Total,,8,1,30,3,0
,Cities,,5,0,29,2,0
,,Washington,5,0,29,2,0
,Other Agencies,,3,1,1,1,0
,,Metro Transit Police,3,1,1,1,0
FLORIDA,Total,,69,35,31,17,1
,Cities,,38,21,24,12,1
,,Boca Raton,1,0,0,0,0
,,Casselberry,2,0,0,0,0
,,Clermont,1,0,0,0,0
,,Cocoa,1,0,0,0,0
,,Coconut Creek,0,0,1,0,0
,,Coral Gables,0,3,0,0,0
,,Davie,0,1,0,0,0
,,Daytona Beach,1,0,1,0,0
,,Deerfield Beach,1,0,0,0,0
,,Fort Lauderdale,0,0,3,0,0
,,Fort Pierce,0,0,0,1,0
,,Gainesville,3,1,3,1,0
,,Hallandale,1,0,0,0,0
,,Hialeah,1,1,0,0,0
,,High Springs,0,0,0,0,1
,,Hollywood,0,1,0,0,0
,,Jacksonville,3,0,0,0,0
,,Key West,0,0,1,0,0
,,Lady Lake,1,0,0,0,0
,,Largo,0,0,0,1,0
,,Mascotte,1,0,0,0,0
,,Melbourne,4,2,0,0,0
,,Miami Beach,4,4,3,0,0
,,Miami Gardens,0,0,1,0,0
,,North Port,0,0,1,1,0
,,Oviedo,1,0,1,1,0
,,Palm Bay,1,0,0,0,0
,,Palm Beach,1,0,0,0,0
,,Palm Beach Gardens,2,2,0,0,0
,,Panama City,0,0,0,1,0
,,Parkland,0,2,0,0,0
,,Pensacola,0,0,1,0,0
,,Pompano Beach,1,1,0,0,0
,,Port St. Lucie,0,1,0,3,0
,,Punta Gorda,1,0,0,0,0
,,Riviera Beach,0,0,2,0,0
,,Southwest Ranches,1,0,0,0,0
,,St. Petersburg,0,0,0,2,0
,,Sunny Isles Beach,0,1,0,0,0
,,Sunrise,1,0,1,0,0
,,Tallahassee,0,0,1,0,0
,,Tampa,1,0,1,0,0
,,Temple Terrace,1,0,0,0,0
,,Tequesta,0,0,0,1,0
,,Wellington,0,1,0,0,0
,,Wilton Manors,0,0,3,0,0
,,Winter Haven,1,0,0,0,0
,,Winter Park,1,0,0,0,0
,Universities and Colleges,,0,1,0,0,0
,,University of Central Florida,0,1,0,0,0
,Metropolitan Counties,,31,11,6,5,0
,,Alachua,1,0,0,0,0
,,Brevard,0,0,0,1,0
,,Broward,2,1,0,0,0
,,Clay,7,0,1,1,0
,,Collier,6,4,0,1,0
,,Escambia,2,0,1,0,0
,,Flagler,4,0,0,0,0
,,Hillsborough,2,0,0,0,0
,,Lee,0,0,1,1,0
,,Manatee,0,0,0,1,0
,,Martin,0,1,0,0,0
,,Orange,0,0,1,0,0
,,Osceola,1,0,0,0,0
,,Palm Beach,1,4,0,0,0
,,Pasco,1,0,0,0,0
,,Pinellas,2,0,1,0,0
,,Polk,0,0,1,0,0
,,Santa Rosa,1,0,0,0,0
,,St. Johns,0,1,0,0,0
,,St. Lucie,1,0,0,0,0
,Nonmetropolitan Counties,,0,2,0,0,0
,,Putnam,0,1,0,0,0
,,Sumter,0,1,0,0,0
,Other Agencies,,0,0,1,0,0
,,Palm Beach County School District,0,0,1,0,0
GEORGIA,Total,,4,2,2,1,0
,Cities,,4,2,2,1,0
,,Atlanta,2,0,2,0,0
,,Norcross,2,2,0,1,0
IDAHO,Total,,15,3,3,9,0
,Cities,,15,1,3,7,0
,,Boise,10,1,0,0,0
,,Chubbuck,1,0,0,0,0
,,Coeur d'Alene,0,0,1,1,0
,,Hailey,0,0,0,2,0
,,Idaho Falls,0,0,0,1,0
,,Lewiston,0,0,1,0,0
,,Nampa,3,0,1,3,0
,,Twin Falls,1,0,0,0,0
,Metropolitan Counties,,0,1,0,1,0
,,Ada,0,0,0,1,0
,,Kootenai,0,1,0,0,0
,Nonmetropolitan Counties,,0,1,0,1,0
,,Elmore,0,0,0,1,0
,,Twin Falls,0,1,0,0,0
ILLINOIS,Total,,66,18,23,12,1
,Cities,,55,16,15,11,1
,,Arlington Heights,1,0,0,0,0
,,Aurora,7,1,0,1,0
,,Bartlett,0,1,0,0,0
,,Beardstown,1,0,0,0,0
,,Bloomington,3,0,0,0,0
,,Canton,1,0,0,0,0
,,Carmi,0,0,1,0,0
,,Champaign,0,1,0,1,0
,,Chicago,13,7,7,4,0
,,Coal City,1,0,0,0,0
,,Decatur,2,0,1,0,0
,,Dixon,1,0,0,0,0
,,East Peoria,0,0,1,0,0
,,Elgin,0,0,1,0,0
,,Elmhurst,0,1,0,0,0
,,Evanston,1,2,0,0,0
,,Freeport,0,0,1,0,0
,,Galesburg,4,0,0,1,0
,,Glenview,0,1,0,0,0
,,Greenville,1,0,0,0,0
,,Joliet,1,0,0,0,0
,,Le Roy,0,0,0,1,0
,,Lincoln,1,0,0,0,0
,,Lisle,1,0,1,0,0
,,Marengo,0,0,1,0,0
,,Orland Park,1,0,0,0,0
,,Pekin,1,0,0,0,0
,,Peoria,2,0,0,0,0
,,Pontiac,0,0,0,1,0
,,Rockford,3,0,1,0,1
,,Rushville,1,0,0,0,0
,,Skokie,2,1,0,2,0
,,South Beloit,1,0,0,0,0
,,Springfield,3,0,0,0,0
,,St. Charles,1,0,0,0,0
,,Vandalia,1,0,0,0,0
,,Wheaton,0,1,0,0,0
,Universities and Colleges,,8,1,6,0,0
,,Parkland College,0,0,1,0,0
,,Triton College,0,0,1,0,0
,,"University of Illinois, Urbana",1,0,0,0,0
,,Western Illinois University,7,1,4,0,0
,Metropolitan Counties,,3,1,2,1,0
,,Cook,0,1,1,0,0
,,Du Page,1,0,0,0,0
,,Will,2,0,1,1,0
INDIANA,Total,,39,3,12,4,3
,Cities,,35,3,10,3,3
,,Bloomington,20,1,6,1,1
,,Clarksville,1,0,0,0,0
,,Fishers,1,0,1,0,0
,,Fort Wayne,4,1,2,1,0
,,Goshen,2,0,0,0,0
,,Hammond,0,0,1,0,0
,,Mishawaka,5,0,0,0,2
,,Richmond,1,1,0,0,0
,,Seymour,0,0,0,1,0
,,South Bend,1,0,0,0,0
,Universities and Colleges,,1,0,1,0,0
,,Ball State University,1,0,0,0,0
,,Purdue University,0,0,1,0,0
,Metropolitan Counties,,2,0,0,0,0
,,Porter,1,0,0,0,0
,,St. Joseph,1,0,0,0,0
,Nonmetropolitan Counties,,1,0,1,1,0
,,Fulton,0,0,1,0,0
,,Noble,0,0,0,1,0
,,Starke,1,0,0,0,0
IOWA,Total,,20,4,5,3,1
,Cities,,19,4,5,3,0
,,Bettendorf,2,0,0,0,0
,,Cedar Rapids,1,2,0,0,0
,,Clarion,0,0,0,1,0
,,Council Bluffs,3,0,0,0,0
,,Davenport,3,2,1,1,0
,,Des Moines,3,0,3,1,0
,,De Witt,1,0,0,0,0
,,Dubuque,2,0,0,0,0
,,Grinnell,0,0,1,0,0
,,Iowa City,1,0,0,0,0
,,Sergeant Bluff,1,0,0,0,0
,,Waterloo,1,0,0,0,0
,,West Des Moines,1,0,0,0,0
,Universities and Colleges,,1,0,0,0,0
,,University of Iowa,1,0,0,0,0
,Nonmetropolitan Counties,,0,0,0,0,1
,,Clinton,0,0,0,0,1
KANSAS,Total,,69,11,22,11,0
,Cities,,57,8,15,10,0
,,Arkansas City,1,1,0,0,0
,,Baldwin City,1,0,0,0,0
,,Cherryvale,0,0,1,0,0
,,Chetopa,1,0,0,0,0
,,Clay Center,1,0,0,0,0
,,Coffeyville,1,0,0,0,0
,,Ellsworth,0,0,1,0,0
,,Emporia,2,0,0,0,0
,,Fort Scott,1,0,0,0,0
,,Frontenac,0,0,1,0,0
,,Garden City,1,0,0,0,0
,,Garnett,0,0,1,0,0
,,Grandview Plaza,1,1,0,0,0
,,Great Bend,1,0,0,0,0
,,Hays,1,0,0,0,0
,,Haysville,2,0,0,0,0
,,Hutchinson,2,0,0,0,0
,,Independence,1,0,1,0,0
,,Iola,1,0,0,0,0
,,Lansing,0,0,1,0,0
,,Lawrence,2,0,0,0,0
,,Leavenworth,6,0,2,0,0
,,Lenexa,0,2,0,0,0
,,Marysville,1,0,0,0,0
,,Newton,5,0,0,0,0
,,Parsons,0,0,0,2,0
,,Pittsburg,1,0,1,1,0
,,Prairie Village,0,0,1,0,0
,,Pratt,0,0,0,1,0
,,Rose Hill,1,0,0,0,0
,,Russell,1,0,0,0,0
,,Salina,3,1,1,0,0
,,Shawnee,0,1,0,0,0
,,Spring Hill,1,0,0,1,0
,,St. Marys,1,0,0,0,0
,,Topeka,2,1,0,0,0
,,Westwood,0,1,0,0,0
,,Wichita,15,0,4,5,0
,Universities and Colleges,,1,1,1,0,0
,,Kansas State University,0,0,1,0,0
,,Pittsburg State University,1,1,0,0,0
,Metropolitan Counties,,8,2,5,1,0
,,Butler,1,0,0,0,0
,,Franklin,1,0,0,0,0
,,Pottawatomie,1,0,0,1,0
,,Riley County Police Department,3,2,2,0,0
,,Shawnee,2,0,3,0,0
,Nonmetropolitan Counties,,3,0,1,0,0
,,Allen,2,0,0,0,0
,,Greeley,0,0,1,0,0
,,Greenwood,1,0,0,0,0
KENTUCKY,Total,,43,4,13,4,0
,Cities,,34,4,9,4,0
,,Bowling Green,3,0,0,0,0
,,Covington,1,0,0,0,0
,,Crofton,1,0,0,0,0
,,Dayton,0,0,1,0,0
,,Elsmere,2,0,0,0,0
,,Flemingsburg,0,0,0,1,0
,,Florence,0,1,0,0,0
,,Hazard,0,1,0,0,0
,,Independence,0,0,0,1,0
,,Lexington,14,0,5,1,0
,,Louisville Metro,3,0,2,0,0
,,Murray,2,0,0,0,0
,,Richmond,4,0,1,0,0
,,St. Matthews,0,0,0,1,0
,,Taylor Mill,1,0,0,0,0
,,Versailles,3,1,0,0,0
,,Wilmore,0,1,0,0,0
,Universities and Colleges,,4,0,4,0,0
