state,total,place,race,religion,sexual_orientation,disability,gender,gender_identity,,,,,
,,Westminster,0,1,1,0,0,0,,,,,
,Universities and Colleges,,14,8,4,0,0,2,,,,,
,,"California State Polytechnic University, San Luis Obispo",1,1,0,0,0,0,,,,,
,,California State University:,,,,,,,,,,,
,,Dominguez Hills,1,0,0,0,0,0,,,,,
,,Fullerton,0,0,0,0,0,1,,,,,
,,Northridge,1,0,0,0,0,0,,,,,
,,San Jose,1,0,0,0,0,1,,,,,
,,Humboldt State University,1,1,1,0,0,0,,,,,
,,San Diego State University,1,1,0,0,0,0,,,,,
,,University of California:,,,,,,,,,,,
,,Berkeley,0,2,0,0,0,0,,,,,
,,Davis,2,3,0,0,0,0,,,,,
,,Los Angeles,5,0,2,0,0,0,,,,,
,,Santa Cruz,0,0,1,0,0,0,,,,,
,,Ventura County Community College District,1,0,0,0,0,0,,,,,
,Metropolitan Counties,,43,18,22,2,0,0,,,,,
,,Kern,2,0,2,0,0,0,,,,,
,,Kings,0,0,1,0,0,0,,,,,
,,Los Angeles,16,2,9,1,0,0,,,,,
,,Marin,0,1,0,0,0,0,,,,,
,,Orange,1,1,0,0,0,0,,,,,
,,Placer,0,3,0,0,0,0,,,,,
,,Riverside,1,1,1,0,0,0,,,,,
,,Sacramento,6,2,0,0,0,0,,,,,
,,San Bernardino,5,0,1,0,0,0,,,,,
,,San Diego,8,4,3,0,0,0,,,,,
,,San Joaquin,0,2,1,0,0,0,,,,,
,,San Luis Obispo,1,0,1,0,0,0,,,,,
,,San Mateo,2,0,1,0,0,0,,,,,
,,Santa Clara,0,1,0,1,0,0,,,,,
,,Sonoma,1,1,0,0,0,0,,,,,
,,Stanislaus,0,0,1,0,0,0,,,,,
,,Ventura,0,0,1,0,0,0,,,,,
,Nonmetropolitan Counties,,6,1,2,1,0,0,,,,,
,,Amador,1,1,0,0,0,0,,,,,
,,Calaveras,0,0,1,0,0,0,,,,,
,,Colusa,1,0,0,0,0,0,,,,,
,,Del Norte,0,0,0,1,0,0,,,,,
,,Lake,1,0,1,0,0,0,,,,,
,,Mendocino,1,0,0,0,0,0,,,,,
,,Nevada,2,0,0,0,0,0,,,,,
,Other Agencies,,15,6,5,0,1,0,,,,,
,,"East Bay Regional Parks, Alameda County",0,1,0,0,0,0,,,,,
,,Los Angeles Transportation Services Bureau,10,1,5,0,1,0,,,,,
,,Port of San Diego Harbor,0,1,0,0,0,0,,,,,
,,San Francisco Bay Area Rapid Transit: ,,,,,,,,,,,
,,Alameda County,2,1,0,0,0,0,,,,,
,,Contra Costa County,1,1,0,0,0,0,,,,,
,,San Francisco County,1,0,0,0,0,0,,,,,
,,San Mateo County,1,1,0,0,0,0,,,,,
Colorado,Total,,65,16,20,3,0,3,,,,,
,Cities,,47,9,19,2,0,1,,,,,
,,Arvada,1,0,1,0,0,0,,,,,
,,Aspen,1,0,0,0,0,0,,,,,
,,Aurora,4,1,1,0,0,0,,,,,
,,Basalt,1,0,0,0,0,0,,,,,
,,Boulder,1,0,0,0,0,0,,,,,
,,Breckenridge,1,0,0,0,0,0,,,,,
,,Castle Rock,1,0,0,0,0,0,,,,,
,,Centennial,1,0,0,0,0,0,,,,,
,,Colorado Springs,5,1,2,0,0,0,,,,,
,,Craig,1,0,0,0,0,0,,,,,
,,Denver,8,2,9,1,0,0,,,,,
,,Durango,1,0,1,0,0,0,,,,,
,,Englewood,0,0,1,0,0,0,,,,,
,,Fort Collins,3,0,1,0,0,0,,,,,
,,Glenwood Springs,2,0,0,0,0,0,,,,,
,,Golden,1,0,0,0,0,0,,,,,
,,Grand Junction,1,0,1,0,0,0,,,,,
,,Greeley,1,0,0,0,0,0,,,,,
,,Greenwood Village,2,1,0,0,0,0,,,,,
,,La Junta,1,0,0,0,0,0,,,,,
,,Littleton,0,1,0,0,0,0,,,,,
,,Longmont,2,0,0,0,0,0,,,,,
,,Loveland,0,1,0,0,0,1,,,,,
,,Pueblo,5,2,2,0,0,0,,,,,
,,Sterling,1,0,0,0,0,0,,,,,
,,Trinidad,0,0,0,1,0,0,,,,,
,,Walsenburg,2,0,0,0,0,0,,,,,
,Universities and Colleges,,2,1,0,0,0,0,,,,,
,,Auraria Higher Education Center2,0,1,0,0,0,0,,,,,
,,University of Colorado:,,,,,,,,,,,
,,Boulder,1,0,0,0,0,0,,,,,
,,Colorado Springs,1,0,0,0,0,0,,,,,
,Metropolitan Counties,,14,4,1,1,0,2,,,,,
,,Adams,1,0,0,0,0,0,,,,,
,,Arapahoe,5,3,0,1,0,0,,,,,
,,Boulder,2,1,0,0,0,1,,,,,
,,El Paso,1,0,0,0,0,0,,,,,
,,Jefferson,0,0,0,0,0,1,,,,,
,,Larimer,1,0,1,0,0,0,,,,,
,,Mesa,1,0,0,0,0,0,,,,,
,,Pueblo,1,0,0,0,0,0,,,,,
,,Weld,2,0,0,0,0,0,,,,,
,Nonmetropolitan Counties,,2,2,0,0,0,0,,,,,
,,Garfield,1,1,0,0,0,0,,,,,
,,La Plata,0,1,0,0,0,0,,,,,
,,Pitkin,1,0,0,0,0,0,,,,,
Connecticut,Total,,62,19,9,4,0,0,,,,,
,Cities,,57,17,8,4,0,0,,,,,
,,Bethel,1,0,0,0,0,0,,,,,
,,Bloomfield,0,2,0,0,0,0,,,,,
,,Bridgeport,5,0,1,0,0,0,,,,,
,,Bristol,1,0,1,0,0,0,,,,,
,,Cheshire,1,0,0,0,0,0,,,,,
,,Danbury,2,1,0,1,0,0,,,,,
,,Derby,1,0,0,0,0,0,,,,,
,,Groton Town,0,1,0,0,0,0,,,,,
,,Guilford,2,0,0,0,0,0,,,,,
,,Hartford3,1,1,1,0,0,0,,,,,
,,Manchester,1,1,1,0,0,0,,,,,
,,Meriden,1,0,0,1,0,0,,,,,
,,Middletown,3,0,1,0,0,0,,,,,
,,New Britain,1,0,0,0,0,0,,,,,
,,New Haven,7,0,1,0,0,0,,,,,
,,Newington,1,0,0,0,0,0,,,,,
,,New London,1,0,0,0,0,0,,,,,
,,New Milford,1,0,0,0,0,0,,,,,
,,North Branford,0,1,0,0,0,0,,,,,
,,North Haven,1,0,0,0,0,0,,,,,
,,Norwalk,1,0,0,0,0,0,,,,,
,,Old Saybrook,1,0,0,0,0,0,,,,,
,,Plainfield,1,0,0,0,0,0,,,,,
,,Redding,0,1,0,0,0,0,,,,,
,,Simsbury,0,1,0,0,0,0,,,,,
,,Southington,1,0,0,0,0,0,,,,,
,,Stamford,7,2,0,1,0,0,,,,,
,,Stonington,1,0,0,0,0,0,,,,,
,,Stratford,2,0,0,0,0,0,,,,,
,,Suffield,1,0,0,0,0,0,,,,,
,,Torrington,3,1,0,0,0,0,,,,,
,,Trumbull,1,1,1,0,0,0,,,,,
,,Vernon,1,0,0,0,0,0,,,,,
,,Wallingford,1,0,0,0,0,0,,,,,
,,Waterford,1,1,0,0,0,0,,,,,
,,West Hartford,1,0,0,0,0,0,,,,,
,,West Haven,1,0,1,0,0,0,,,,,
,,Westport,0,1,0,1,0,0,,,,,
,,Winchester,1,2,0,0,0,0,,,,,
,,Windsor,1,0,0,0,0,0,,,,,
,Universities and Colleges,,5,0,0,0,0,0,,,,,
,,Central Connecticut State University,2,0,0,0,0,0,,,,,
,,"University of Connecticut, Storrs, Avery Point and Hartford2",1,0,0,0,0,0,,,,,
,,Western Connecticut State University,2,0,0,0,0,0,,,,,
,State Police Agencies,,0,2,1,0,0,0,,,,,
,,Connecticut State Police,0,2,1,0,0,0,,,,,
Delaware,Total,,9,2,0,0,0,0,,,,,
,Cities,,5,0,0,0,0,0,,,,,
,,Laurel,1,0,0,0,0,0,,,,,
,,Milford,1,0,0,0,0,0,,,,,
,,Milton,1,0,0,0,0,0,,,,,
,,Wilmington,2,0,0,0,0,0,,,,,
,Metropolitan Counties,,3,0,0,0,0,0,,,,,
,,New Castle County Police Department,3,0,0,0,0,0,,,,,
,State Police Agencies,,0,2,0,0,0,0,,,,,
,,"State Police, Sussex County",0,2,0,0,0,0,,,,,
,Other Agencies,,1,0,0,0,0,0,,,,,
,,Park Rangers,1,0,0,0,0,0,,,,,
District of Columbia,Total,,23,5,27,0,0,10,,,,,
,Cities,,22,5,27,0,0,10,,,,,
,,Washington,22,5,27,0,0,10,,,,,
,Other Agencies,,1,0,0,0,0,0,,,,,
,,Metro Transit Police,1,0,0,0,0,0,,,,,
Florida,Total,,44,13,14,0,0,1,,,,,
,Cities,,21,13,10,0,0,1,,,,,
,,Clearwater,2,0,0,0,0,0,,,,,
,,Coral Springs,0,1,0,0,0,0,,,,,
,,Daytona Beach Shores,1,0,0,0,0,0,,,,,
,,Deland,0,1,0,0,0,0,,,,,
,,Fort Myers,0,0,1,0,0,0,,,,,
,,Gainesville,2,0,1,0,0,0,,,,,
,,Melbourne,0,1,0,0,0,0,,,,,
,,Miami Beach,2,6,3,0,0,1,,,,,
,,Miami Gardens,6,0,0,0,0,0,,,,,
,,New Port Richey,0,0,1,0,0,0,,,,,
,,North Miami,0,0,1,0,0,0,,,,,
,,North Palm Beach,0,1,0,0,0,0,,,,,
,,North Port,1,0,0,0,0,0,,,,,
,,Ocala,1,0,0,0,0,0,,,,,
,,Palm Bay,3,0,1,0,0,0,,,,,
,,Pembroke Pines,0,2,0,0,0,0,,,,,
,,Port St. Lucie,1,0,0,0,0,0,,,,,
,,South Daytona,1,0,0,0,0,0,,,,,
,,Tallahassee,0,0,1,0,0,0,,,,,
,,Venice,1,0,0,0,0,0,,,,,
,,West Palm Beach,0,1,0,0,0,0,,,,,
,,Winter Garden,0,0,1,0,0,0,,,,,
,Universities and Colleges,,1,0,0,0,0,0,,,,,
,,"University of South Florida, Tampa",1,0,0,0,0,0,,,,,
,Metropolitan Counties,,22,0,4,0,0,0,,,,,
,,Charlotte,1,0,0,0,0,0,,,,,
,,Clay,3,0,0,0,0,0,,,,,
,,Collier,1,0,1,0,0,0,,,,,
,,Escambia,2,0,0,0,0,0,,,,,
,,Lake,1,0,0,0,0,0,,,,,
,,Orange,2,0,1,0,0,0,,,,,
,,Osceola,1,0,0,0,0,0,,,,,
,,Pasco,1,0,1,0,0,0,,,,,
,,Pinellas,0,0,1,0,0,0,,,,,
,,Seminole,1,0,0,0,0,0,,,,,
,,St. Johns,2,0,0,0,0,0,,,,,
,,Volusia,6,0,0,0,0,0,,,,,
,,Walton,1,0,0,0,0,0,,,,,
Georgia,Total,,32,5,7,0,0,0,,,,,
,Cities,,2,0,3,0,0,0,,,,,
,,Athens-Clarke County,0,0,1,0,0,0,,,,,
,,Atlanta,2,0,2,0,0,0,,,,,
,Universities and Colleges,,3,1,1,0,0,0,,,,,
,,Georgia Institute of Technology,1,1,0,0,0,0,,,,,
,,University of Georgia,2,0,1,0,0,0,,,,,
,Metropolitan Counties,,27,4,3,0,0,0,,,,,
,,Cobb County Police Department,23,4,3,0,0,0,,,,,
,,Gwinnett County Police Department,1,0,0,0,0,0,,,,,
,,Henry County Police Department,3,0,0,0,0,0,,,,,
Idaho,Total,,14,12,6,2,0,0,,,,,
,Cities,,9,5,6,2,0,0,,,,,
,,Boise,1,2,2,0,0,0,,,,,
,,Caldwell,1,0,0,0,0,0,,,,,
,,Coeur d'Alene,1,0,0,0,0,0,,,,,
,,Garden City,0,0,1,0,0,0,,,,,
,,Grangeville,0,0,1,0,0,0,,,,,
,,Kimberly,1,0,0,1,0,0,,,,,
,,Nampa,1,0,0,0,0,0,,,,,
,,Osburn,1,0,0,0,0,0,,,,,
,,Pocatello,1,1,0,0,0,0,,,,,
,,Post Falls,1,0,0,0,0,0,,,,,
,,Rexburg,0,1,0,0,0,0,,,,,
,,Shoshone,0,0,1,0,0,0,,,,,
,,Spirit Lake,0,0,1,0,0,0,,,,,
,,St. Maries,1,0,0,0,0,0,,,,,
,,Twin Falls,0,1,0,1,0,0,,,,,
,Metropolitan Counties,,3,1,0,0,0,0,,,,,
,,Canyon,0,1,0,0,0,0,,,,,
,,Kootenai,3,0,0,0,0,0,,,,,
,Nonmetropolitan Counties,,2,6,0,0,0,0,,,,,
,,Cassia,1,0,0,0,0,0,,,,,
,,Elmore,1,6,0,0,0,0,,,,,
Illinois,Total,,59,12,16,0,1,2,,,,,
,Cities,,57,11,15,0,1,2,,,,,
,,Addison,0,0,1,0,0,0,,,,,
,,Aurora,1,0,0,0,0,0,,,,,
,,Beecher,1,0,0,0,0,0,,,,,
,,Belleville,1,0,0,0,0,0,,,,,
,,Berwyn,1,0,1,0,0,0,,,,,
,,Bloomington,1,0,0,0,0,0,,,,,
,,Centralia,1,0,0,0,0,0,,,,,
,,Champaign,1,0,0,0,0,0,,,,,
,,Chicago,19,8,10,0,0,1,,,,,
,,Chicago Ridge,1,0,0,0,0,0,,,,,
,,Danville,1,0,0,0,0,0,,,,,
,,De Kalb,1,0,1,0,0,0,,,,,
,,Des Plaines,0,0,0,0,0,1,,,,,
,,Elgin,1,0,0,0,0,0,,,,,
,,Evanston,0,1,0,0,0,0,,,,,
,,Geneseo,1,0,0,0,0,0,,,,,
,,Glenview,1,0,0,0,0,0,,,,,
,,Grayslake,0,1,0,0,0,0,,,,,
,,Lombard,1,0,0,0,0,0,,,,,
,,Macomb,1,0,0,0,0,0,,,,,
,,Marissa,1,0,0,0,0,0,,,,,
,,Monmouth,2,0,0,0,0,0,,,,,
,,Moweaqua,1,0,0,0,0,0,,,,,
,,Normal,2,0,1,0,0,0,,,,,
,,North Chicago,3,0,0,0,0,0,,,,,
,,North Riverside,1,0,0,0,0,0,,,,,
,,Oak Forest,1,0,0,0,0,0,,,,,
,,Orland Park,1,0,0,0,0,0,,,,,
,,Rantoul,1,0,0,0,0,0,,,,,
,,Rockford,2,0,0,0,0,0,,,,,
,,Rolling Meadows,1,0,0,0,0,0,,,,,
,,Round Lake Park,1,0,0,0,0,0,,,,,
,,Schaumburg,0,1,0,0,0,0,,,,,
,,Silvis,1,0,0,0,0,0,,,,,
,,Skokie,1,0,0,0,0,0,,,,,
,,Springfield,2,0,0,0,0,0,,,,,
,,Tuscola,0,0,1,0,0,0,,,,,
,,Urbana,1,0,0,0,1,0,,,,,
,,Wheeling,1,0,0,0,0,0,,,,,
,Universities and Colleges,,0,0,1,0,0,0,,,,,
,,Northern Illinois University,0,0,1,0,0,0,,,,,
,Metropolitan Counties,,2,1,0,0,0,0,,,,,
,,Champaign,1,0,0,0,0,0,,,,,
,,DuPage,1,0,0,0,0,0,,,,,
,,Sangamon,0,1,0,0,0,0,,,,,
Indiana,Total,,43,9,14,0,1,0,,,,,
,Cities,,32,7,12,0,0,0,,,,,
,,Bloomington3,6,2,3,0,0,0,,,,,
,,Fort Wayne,1,0,0,0,0,0,,,,,
,,Hammond,2,0,0,0,0,0,,,,,
,,Indianapolis,15,4,7,0,0,0,,,,,
,,Muncie,1,1,1,0,0,0,,,,,
,,Plainfield,1,0,0,0,0,0,,,,,
,,Shelbyville,0,0,1,0,0,0,,,,,
,,South Bend,6,0,0,0,0,0,,,,,
,Universities and Colleges,,3,0,1,0,0,0,,,,,
,,Indiana University:,,,,,,,,,,,
,,Bloomington3,2,0,1,0,0,0,,,,,
,,Indianapolis,1,0,0,0,0,0,,,,,
,Metropolitan Counties,,1,2,0,0,1,0,,,,,
,,Clark3,0,1,0,0,1,0,,,,,
,,Morgan3,1,1,0,0,0,0,,,,,
,State Police Agencies,,7,0,1,0,0,0,,,,,
,,State Police:,,,,,,,,,,,
,,Decatur County,1,0,1,0,0,0,,,,,
,,Miami County,1,0,0,0,0,0,,,,,
,,Ripley County,1,0,0,0,0,0,,,,,
,,Rush County,2,0,0,0,0,0,,,,,
,,Scott County,1,0,0,0,0,0,,,,,
,,Wayne County,1,0,0,0,0,0,,,,,
Iowa,Total,,3,1,1,1,0,0,,,,,
,Cities,,2,1,0,1,0,0,,,,,
,,Cedar Rapids,0,1,0,0,0,0,,,,,
,,Des Moines,1,0,0,0,0,0,,,,,
,,De Witt,1,0,0,1,0,0,,,,,
,Universities and Colleges,,1,0,0,0,0,0,,,,,
,,Iowa State University,1,0,0,0,0,0,,,,,
,Metropolitan Counties,,0,0,1,0,0,0,,,,,
,,Scott,0,0,1,0,0,0,,,,,
Kansas,Total,,46,8,8,0,1,0,,,,,
,Cities,,36,7,5,0,1,0,,,,,
,,Baxter Springs,1,0,0,0,0,0,,,,,
,,Clay Center,1,0,0,0,0,0,,,,,
,,Colby,1,0,0,0,0,0,,,,,
,,Derby,1,0,0,0,0,0,,,,,
,,Dodge City,2,1,1,0,0,0,,,,,
,,Elwood,1,0,0,0,0,0,,,,,
,,Garden City,1,0,0,0,0,0,,,,,
,,Great Bend,1,0,0,0,0,0,,,,,
,,Hoisington,1,0,0,0,0,0,,,,,
,,Hutchinson,2,1,0,0,0,0,,,,,
,,Iola,1,0,0,0,0,0,,,,,
,,Leavenworth,1,0,0,0,0,0,,,,,
,,Liberal,1,0,0,0,0,0,,,,,
,,Newton,2,1,0,0,0,0,,,,,
,,Overland Park3,4,0,2,0,1,0,,,,,
