state,total,place,race,religion,sexual_orientation,ethnicity,disability,,,,,
,,Arcata,1,0,0,0,0,,,,,
,,Atascadero,0,0,1,0,0,,,,,
,,Azusa,3,0,0,0,0,,,,,
,,Bakersfield,2,0,2,0,0,,,,,
,,Bellflower,0,0,1,0,0,,,,,
,,Benicia,0,0,1,0,0,,,,,
,,Berkeley,3,2,1,2,0,,,,,
,,Beverly Hills,2,2,1,0,0,,,,,
,,Brentwood,1,0,0,0,0,,,,,
,,Buena Park,2,0,1,0,0,,,,,
,,Burbank,1,1,3,4,0,,,,,
,,Calabasas,0,2,0,0,0,,,,,
,,Calimesa,0,0,2,0,0,,,,,
,,Camarillo,0,3,1,0,0,,,,,
,,Campbell,1,0,0,0,0,,,,,
,,Capitola,0,0,1,0,0,,,,,
,,Carson,2,0,0,1,0,,,,,
,,Cerritos,1,0,0,0,0,,,,,
,,Chico,1,1,1,2,0,,,,,
,,Chino,1,0,2,0,0,,,,,
,,Chino Hills,1,0,0,0,0,,,,,
,,Chula Vista,2,0,2,0,0,,,,,
,,Citrus Heights,0,0,1,0,0,,,,,
,,Claremont,1,0,1,0,0,,,,,
,,Clearlake,3,1,0,0,0,,,,,
,,Clovis,0,1,1,0,0,,,,,
,,Colton,1,0,1,0,0,,,,,
,,Compton,1,0,0,0,0,,,,,
,,Concord,0,0,2,0,0,,,,,
,,Corona,1,0,1,1,0,,,,,
,,Coronado,0,1,0,0,0,,,,,
,,Covina,3,0,1,0,0,,,,,
,,Cudahy,0,0,1,0,0,,,,,
,,Cupertino,1,2,1,0,0,,,,,
,,Cypress,1,0,0,0,0,,,,,
,,Daly City,0,0,0,1,0,,,,,
,,Dana Point,0,0,0,1,0,,,,,
,,Davis,1,0,1,3,0,,,,,
,,Diamond Bar,1,0,0,0,0,,,,,
,,Downey,1,0,0,0,0,,,,,
,,Eastvale,3,0,1,0,0,,,,,
,,El Cajon,0,0,0,1,0,,,,,
,,El Monte,3,0,2,0,0,,,,,
,,Encinitas,0,0,0,1,0,,,,,
,,Escondido,9,0,0,1,0,,,,,
,,Eureka,2,1,0,0,0,,,,,
,,Fountain Valley,0,0,1,0,0,,,,,
,,Fowler,1,0,0,0,0,,,,,
,,Fresno,4,0,2,2,0,,,,,
,,Fullerton,0,0,1,0,0,,,,,
,,Gardena,1,0,0,0,0,,,,,
,,Garden Grove,0,1,1,0,0,,,,,
,,Gilroy,0,0,0,1,0,,,,,
,,Glendale,1,0,0,0,0,,,,,
,,Greenfield,1,0,0,0,0,,,,,
,,Hanford,1,0,0,0,0,,,,,
,,Hawaiian Gardens,2,0,0,0,0,,,,,
,,Hawthorne,2,0,0,0,0,,,,,
,,Hayward,2,1,1,0,0,,,,,
,,Hemet,2,0,0,0,0,,,,,
,,Hercules,0,0,1,0,0,,,,,
,,Hermosa Beach,1,0,0,0,0,,,,,
,,Hesperia,1,0,0,0,0,,,,,
,,Highland,1,0,0,0,0,,,,,
,,Hughson,0,1,0,0,0,,,,,
,,Huntington Beach,4,2,2,2,0,,,,,
,,Inglewood,0,0,1,0,0,,,,,
,,Irvine,0,2,0,1,0,,,,,
,,Laguna Beach,0,0,1,0,0,,,,,
,,Laguna Hills,0,0,0,1,0,,,,,
,,La Habra,0,0,1,0,0,,,,,
,,Lake Elsinore,0,0,1,0,0,,,,,
,,Lake Forest,0,0,0,1,0,,,,,
,,Lakewood,3,0,0,0,0,,,,,
,,La Mesa,1,0,1,0,0,,,,,
,,La Mirada,0,0,0,1,0,,,,,
,,Lancaster,4,2,0,1,0,,,,,
,,La Quinta,0,0,1,0,0,,,,,
,,Lawndale,1,0,0,0,0,,,,,
,,Lemon Grove,1,0,1,0,0,,,,,
,,Livermore,1,1,0,1,0,,,,,
,,Livingston,0,0,1,0,0,,,,,
,,Lodi,2,0,1,0,0,,,,,
,,Lomita,2,0,0,0,0,,,,,
,,Long Beach,1,2,1,0,0,,,,,
,,Los Angeles,41,25,41,17,0,,,,,
,,Los Gatos,0,0,1,0,0,,,,,
,,Lynwood,1,0,0,0,0,,,,,
,,Mammoth Lakes,0,0,0,1,0,,,,,
,,Marysville,0,0,0,1,0,,,,,
,,Merced,0,0,1,0,0,,,,,
,,Milpitas,0,0,0,1,0,,,,,
,,Modesto,3,0,1,0,1,,,,,
,,Monrovia,1,1,0,0,0,,,,,
,,Montclair,0,0,2,1,0,,,,,
,,Monterey Park,1,0,1,0,0,,,,,
,,Moreno Valley,1,0,0,0,0,,,,,
,,Murrieta,0,1,1,0,0,,,,,
,,Napa,0,0,0,1,0,,,,,
,,National City,1,0,0,1,0,,,,,
,,Newark,0,2,2,1,0,,,,,
,,Newport Beach,0,5,1,1,0,,,,,
,,Norwalk,1,0,1,0,0,,,,,
,,Novato,1,0,0,1,0,,,,,
,,Oakland,5,1,5,0,0,,,,,
,,Oceanside,6,0,1,2,0,,,,,
,,Ontario,1,0,0,1,0,,,,,
,,Orange,1,0,0,0,0,,,,,
,,Orland,0,0,0,1,0,,,,,
,,Oxnard,3,0,1,0,0,,,,,
,,Pacifica,1,2,0,0,0,,,,,
,,Palmdale3,10,1,3,3,0,,,,,
,,Palm Desert,1,0,0,0,0,,,,,
,,Palm Springs,0,3,2,1,0,,,,,
,,Palo Alto,2,2,0,0,0,,,,,
,,Paradise,1,0,0,0,0,,,,,
,,Paramount,3,0,0,1,0,,,,,
,,Parlier,0,0,1,0,0,,,,,
,,Pasadena,1,1,0,0,0,,,,,
,,Paso Robles,0,0,0,1,0,,,,,
,,Pico Rivera,0,0,1,0,0,,,,,
,,Pinole,0,1,0,0,0,,,,,
,,Pittsburg,1,0,0,0,0,,,,,
,,Placerville,1,0,0,0,0,,,,,
,,Pomona,1,1,2,0,0,,,,,
,,Poway,0,1,0,0,0,,,,,
,,Rancho Palos Verdes,1,0,0,0,0,,,,,
,,Rancho Santa Margarita,0,1,0,0,0,,,,,
,,Redding,9,0,1,4,0,,,,,
,,Redlands,1,0,0,0,0,,,,,
,,Redondo Beach,2,2,1,1,0,,,,,
,,Redwood City,0,0,0,1,0,,,,,
,,Reedley,0,0,0,1,0,,,,,
,,Richmond,2,0,0,3,0,,,,,
,,Riverside,4,5,2,1,0,,,,,
,,Rosemead,1,0,1,0,0,,,,,
,,Roseville,0,0,0,1,0,,,,,
,,Sacramento,2,4,7,3,0,,,,,
,,San Anselmo,1,0,0,0,0,,,,,
,,San Bernardino,1,0,0,0,0,,,,,
,,San Clemente,0,0,1,0,0,,,,,
,,San Diego,12,7,9,6,0,,,,,
,,San Dimas,1,0,0,0,0,,,,,
,,San Francisco,8,1,20,6,0,,,,,
,,San Gabriel,1,0,0,0,0,,,,,
,,San Jose,3,5,5,2,0,,,,,
,,San Leandro,3,0,0,0,0,,,,,
,,San Luis Obispo,0,0,2,2,0,,,,,
,,San Marcos,1,0,1,0,0,,,,,
,,San Mateo,1,0,0,0,0,,,,,
,,San Rafael,1,1,1,0,0,,,,,
,,Santa Ana,2,0,3,2,0,,,,,
,,Santa Barbara,0,0,1,0,0,,,,,
,,Santa Clarita3,2,2,2,3,0,,,,,
,,Santa Cruz,2,5,3,0,0,,,,,
,,Santa Maria,1,0,0,0,0,,,,,
,,Santa Monica,6,2,0,3,0,,,,,
,,Santa Paula,0,0,1,0,0,,,,,
,,Santa Rosa,0,0,0,1,0,,,,,
,,Saratoga,0,1,0,0,0,,,,,
,,Scotts Valley,1,0,0,0,0,,,,,
,,Sierra Madre,0,0,1,0,0,,,,,
,,Simi Valley,2,1,0,0,0,,,,,
,,Sonora,1,0,0,0,0,,,,,
,,South Gate,1,0,0,0,0,,,,,
,,Stockton,2,0,0,0,0,,,,,
,,Sunnyvale,2,0,0,1,0,,,,,
,,Taft,1,0,0,1,0,,,,,
,,Tehachapi,1,0,0,0,0,,,,,
,,Temecula,2,1,1,0,0,,,,,
,,Temple City,1,0,0,0,0,,,,,
,,Thousand Oaks,2,1,0,0,0,,,,,
,,Torrance,1,0,1,0,0,,,,,
,,Tracy,0,0,1,1,0,,,,,
,,Tulare,0,0,1,0,0,,,,,
,,Turlock,1,0,0,0,0,,,,,
,,Ukiah,0,0,1,0,0,,,,,
,,Union City,0,1,0,0,0,,,,,
,,Upland,1,0,0,0,0,,,,,
,,Vallejo,2,0,0,0,0,,,,,
,,Ventura,1,0,2,0,0,,,,,
,,Victorville,2,0,0,0,0,,,,,
,,Villa Park,1,0,0,0,0,,,,,
,,Visalia,2,0,0,0,0,,,,,
,,Vista,2,1,0,1,0,,,,,
,,Walnut Creek,0,1,0,0,0,,,,,
,,Watsonville,1,0,0,2,0,,,,,
,,West Covina,4,1,0,1,0,,,,,
,,West Hollywood,4,0,9,0,0,,,,,
,,Yorba Linda,0,1,0,0,0,,,,,
,,Yucaipa,1,0,0,0,0,,,,,
,Universities and Colleges,,15,7,4,6,1,,,,,
,,Allan Hancock College,1,0,0,2,0,,,,,
,,"California State Polytechnic University, Pomona",0,0,1,0,0,,,,,
,,California State University:,,,,,,,,,,
,,Dominguez Hills,1,0,0,0,0,,,,,
,,Fullerton,1,1,1,0,0,,,,,
,,Long Beach,1,0,0,0,0,,,,,
,,Northridge,3,0,0,0,0,,,,,
,,San Jose,0,0,1,1,0,,,,,
,,San Marcos,0,2,0,0,0,,,,,
,,Marin Community College,1,0,0,0,0,,,,,
,,Riverside Community College,1,0,0,0,0,,,,,
,,San Diego State University,1,0,0,0,0,,,,,
,,Santa Rosa Junior College,0,0,0,1,1,,,,,
,,University of California:,,,,,,,,,,
,,Berkeley,1,1,1,2,0,,,,,
,,Irvine,1,0,0,0,0,,,,,
,,Los Angeles,1,0,0,0,0,,,,,
,,Riverside,1,1,0,0,0,,,,,
,,San Diego,0,1,0,0,0,,,,,
,,San Francisco,1,1,0,0,0,,,,,
,Metropolitan Counties,,48,13,21,28,0,,,,,
,,Alameda,0,0,0,1,0,,,,,
,,Butte,1,0,0,0,0,,,,,
,,Contra Costa,1,0,0,0,0,,,,,
,,El Dorado,1,1,2,0,0,,,,,
,,Kern,1,0,0,0,0,,,,,
,,Los Angeles,12,3,5,7,0,,,,,
,,Monterey,1,0,0,0,0,,,,,
,,Orange,2,0,0,0,0,,,,,
,,Riverside,1,0,2,0,0,,,,,
,,Sacramento,12,2,2,4,0,,,,,
,,San Bernardino,0,0,1,0,0,,,,,
,,San Diego,11,5,1,7,0,,,,,
,,Santa Clara,1,0,0,1,0,,,,,
,,Santa Cruz,2,1,2,3,0,,,,,
,,Solano,0,0,0,1,0,,,,,
,,Sonoma,0,0,3,1,0,,,,,
,,Stanislaus,1,0,1,0,0,,,,,
,,Tulare,0,1,0,0,0,,,,,
,,Ventura,1,0,1,2,0,,,,,
,,Yuba,0,0,1,1,0,,,,,
,Nonmetropolitan Counties,,3,0,2,1,0,,,,,
,,Amador,0,0,1,1,0,,,,,
,,Lake,2,0,1,0,0,,,,,
,,Tuolumne,1,0,0,0,0,,,,,
,Other Agencies,,17,1,4,2,0,,,,,
,,"Department of Parks and Recreation, Northern Buttes",0,1,0,0,0,,,,,
,,Los Angeles Transportation Services Bureau,9,0,1,1,0,,,,,
,,Port of San Diego Harbor,0,0,1,0,0,,,,,
,,Santa Clara Transit District,1,0,0,0,0,,,,,
,,San Francisco Bay Area Rapid Transit:,,,,,,,,,,
,,Alameda County,2,0,1,0,0,,,,,
,,Contra Costa County,1,0,0,1,0,,,,,
,,San Francisco County,3,0,0,0,0,,,,,
,,San Mateo County,1,0,0,0,0,,,,,
,,Stockton Unified School District,0,0,1,0,0,,,,,
Colorado,Total,,87,34,33,35,0,,,,,
,Cities,,74,26,24,29,0,,,,,
,,Aspen,1,0,0,0,0,,,,,
,,Aurora,2,0,1,0,0,,,,,
,,Berthoud,1,0,0,0,0,,,,,
,,Boulder,0,0,0,1,0,,,,,
,,Canon City,0,0,2,0,0,,,,,
,,Centennial,3,0,0,0,0,,,,,
,,Colorado Springs,8,8,1,1,0,,,,,
,,Craig,2,1,1,1,0,,,,,
,,Denver,21,6,12,6,0,,,,,
,,Durango,2,0,0,0,0,,,,,
,,Englewood,2,0,0,0,0,,, ,,
,,Fort Collins,2,0,0,0,0,,,,,
,,Fountain,4,0,0,0,0,,,,,
,,Frisco,0,0,0,1,0,,,,,
,,Glendale,2,0,0,1,0,,,,,
,,Glenwood Springs,2,1,0,0,0,,,,,
,,Grand Junction,0,0,3,1,0,,,,,
,,Greeley,4,1,0,1,0,,,,,
,,Hotchkiss,0,1,0,0,0,,,,,
,,Johnstown,1,0,0,0,0,,,,,
,,Lafayette,2,5,0,1,0,,,,,
,,La Junta,0,0,0,1,0,,,,,
,,Lakewood,1,0,1,0,0,,,,,
,,Littleton,2,0,0,0,0,,,,,
,,Lone Tree,2,2,0,3,0,,,,,
,,Longmont,3,1,1,2,0,,,,,
,,Meeker,0,0,0,1,0,,,,,
,,Monument,0,0,1,1,0,,,,,
,,Parker,1,0,0,0,0,,,,,
,,Pueblo,1,0,0,2,0,,,,,
,,Sheridan,0,0,0,1,0,,,,,
,,Steamboat Springs,1,0,0,0,0,,,,,
,,Sterling,0,0,0,2,0,,,,,
,,Telluride,0,0,0,1,0,,,,,
,,Westminster,1,0,0,0,0,,,,,
,,Wheat Ridge3,2,0,1,0,0,,,,,
,,Windsor,1,0,0,1,0,,,,,
,Universities and Colleges,,3,0,2,0,0,,,,,
,,Auraria Higher Education Center4,1,0,0,0,0,,,,,
,,"Colorado State University, Fort Collins",1,0,2,0,0,,,,,
,,University of Northern Colorado,1,0,0,0,0,,,,,
,Metropolitan Counties,,7,7,4,5,0,,,,,
,,Adams,1,0,0,2,0,,,,,
,,Arapahoe,2,3,1,0,0,,,,,
,,Jefferson,1,3,1,1,0,,,,,
,,Larimer,2,1,2,1,0,,,,,
,,Mesa,1,0,0,1,0,,,,,
,Nonmetropolitan Counties,,3,1,3,1,0,,,,,
,,Bent,0,0,1,0,0,,,,,
,,Chaffee,0,1,1,0,0,,,,,
,,Kit Carson,0,0,0,1,0,,,,,
,,Montrose,2,0,0,0,0,,,,,
,,Summit,1,0,1,0,0,,,,,
Connecticut,Total,,65,20,37,25,2,,,,,
,Cities,,62,19,32,22,2,,,,,
,,Berlin,0,1,0,0,0,,,,,
,,Bloomfield,0,0,0,1,0,,,,,
,,Bridgeport,2,0,3,1,0,,,,,
,,Bristol,1,0,0,0,0,,,,,
,,Canton,0,1,0,0,0,,,,,
,,Coventry,0,1,1,0,0,,,,,
,,Derby,1,0,0,0,0,,,,,
,,Enfield,3,1,0,0,0,,,,,
,,Glastonbury,1,0,0,0,0,,,,,
,,Groton,0,1,0,0,0,,,,,
,,Groton Town,0,2,1,0,0,,,,,
,,Hamden,0,0,0,1,0,,,,,
,,Hartford,0,0,3,1,0,,,,,
,,Manchester,10,2,3,1,0,,,,,
,,Middletown,2,1,0,1,1,,,,,
,,Milford,2,0,0,0,0,,,,,
,,Naugatuck,1,0,0,0,0,,,,,
,,New Britain,0,0,1,0,0,,,,,
,,New Canaan,1,0,0,0,0,,,,,
,,New Haven,6,0,3,3,0,,,,,
,,Newington,1,0,0,0,0,,,,,
,,New London,3,0,2,1,0,,,,,
,,New Milford,0,0,0,1,0,,,,,
,,Newtown,0,0,1,0,0,,,,,
,,Norwalk,2,0,0,0,0,,,,,
,,Norwich,2,1,2,0,0,,,,,
,,Old Saybrook,2,0,0,0,0,,,,,
,,Orange,1,0,0,0,0,,,,,
,,Seymour,2,0,2,0,0,,,,,
,,Shelton,1,0,0,0,0,,,,,
,,Simsbury,1,0,0,0,0,,,,,
,,Southington,2,0,0,4,0,,,,,
,,Stamford,1,0,2,2,1,,,,,
,,Stonington,1,0,2,0,0,,,,,
,,Stratford,2,1,0,0,0,,,,,
,,Torrington,3,3,1,1,0,,,,,
,,Wallingford,2,1,3,1,0,,,,,
,,Waterbury,2,1,1,2,0,,,,,
,,West Hartford,0,1,1,1,0,,,,,
,,West Haven,2,0,0,0,0,,,,,
,,Windsor,1,0,0,0,0,,,,,
,,Windsor Locks,1,0,0,0,0,,,,,
,,Wolcott,0,1,0,0,0,,,,,
,Universities and Colleges,,1,1,4,1,0,,,,,
,,Central Connecticut State University,0,0,1,0,0,,,,,
,,"University of Connecticut, Storrs, Avery Point, and Hartford4",1,0,0,1,0,,,,,
,,Western Connecticut State University,0,1,3,0,0,,,,,
,State Police Agencies,,2,0,0,2,0,,,,,
,,Connecticut State Police,2,0,0,2,0,,,,,
,Other Agencies,,0,0,1,0,0,,,,,
,,Metropolitan Transportation Authority,0,0,1,0,0,,,,,
Delaware,Total,,5,1,2,2,0,,,,,
,Cities,,2,0,1,1,0,,,,,
,,Milton,1,0,0,0,0,,,,,
,,Wilmington,1,0,1,1,0,,,,,
,Metropolitan Counties,,2,0,0,1,0,,,,,
,,New Castle County Police Department,2,0,0,1,0,,,,,
,State Police Agencies,,1,1,1,0,0,,,,,
,,State Police:,,,,,,,,,,
,,New Castle County,0,1,0,0,0,,,,,
,,Sussex County,1,0,1,0,0,,,,,
District of Columbia,Total,,13,6,47,5,1,,,,,
,Cities,,13,6,46,5,1,,,,,
,,Washington,13,6,46,5,1,,,,,
,Other Agencies,,0,0,1,0,0,,,,,
,,Metro Transit Police,0,0,1,0,0,,,,,
Florida,Total,,77,16,42,8,1,,,,,
,Cities,,43,13,25,4,1,,,,,
,,Apopka,1,0,0,0,0,,,,,
,,Aventura,1,0,0,0,0,,,,,
,,Bartow,0,0,1,0,0,,,,,
,,Cape Coral,1,0,0,0,0,,,,,
,,Casselberry,1,0,0,0,0,,,,,
,,Clermont,1,0,0,0,0,,,,,
,,Coral Gables,1,1,0,0,0,,,,,
,,Deland,0,0,1,0,0,,,,,
,,Fort Lauderdale,0,0,1,0,0,,,,,
,,Fort Myers,1,0,0,0,0,,,,,
,,Gainesville,4,0,1,0,0,,,,,
,,Green Cove Springs,1,0,0,0,0,,,,,
,,Homestead,2,1,0,0,0,,,,,
,,Jacksonville,2,1,1,0,0,,,,,
,,Jupiter,2,0,1,0,0,,,,,
,,Key West,0,0,4,0,0,,,,,
,,Lake Clarke Shores,0,1,0,0,0,,,,,
,,Lakeland,1,0,0,0,0,,,,,
,,Largo,1,0,1,0,0,,,,,
,,Leesburg,0,0,1,0,0,,,,,
,,Melbourne,4,2,3,0,0,,,,,
,,Miami Gardens,0,0,1,1,0,,,,,
,,Miramar,2,0,0,1,0,,,,,
,,New Smyrna Beach,1,0,0,0,0,,,,,
,,North Port,1,3,0,0,0,,,,,
,,Oakland Park,1,0,0,0,0,,,,,
,,Ocoee,1,0,0,0,0,,,,,
,,Orange Park,1,0,0,0,0,,,,,
,,Orlando,1,0,1,1,0,,,,,
,,Ormond Beach,1,0,0,0,0,,,,,
,,Oviedo,1,0,0,0,0,,,,,
,,Palm Bay,0,0,0,0,1,,,,,
,,Pensacola,3,0,1,0,0,,,,,
,,Pinellas Park,1,0,0,0,0,,,,,
,,Pompano Beach,2,0,1,0,0,,,,,
,,Port St. Lucie,0,1,1,0,0,,,,,
,,Sanford,1,0,0,0,0,,,,,
,,Stuart,0,2,0,0,0,,,,,
,,Tallahassee,1,0,0,0,0,,,,,
,,Temple Terrace,0,0,0,1,0,,,,,
,,Village of Pinecrest,1,0,0,0,0,,,,,
,,Wellington,0,1,0,0,0,,,,,
,,Wilton Manors,0,0,2,0,0,,,,,
,,Winter Garden,0,0,3,0,0,,,,,
,Universities and Colleges,,6,0,4,1,0,,,,,
,,New College of Florida,0,0,0,1,0,,,,,
,,University of Central Florida,1,0,0,0,0,,,,,
,,University of Florida,3,0,1,0,0,,,,,
,,"University of South Florida, Tampa",0,0,2,0,0,,,,,
,,University of West Florida,2,0,1,0,0,,,,,
,Metropolitan Counties,,27,3,13,3,0,,,,,
,,Alachua,1,0,2,0,0,,,,,
,,Baker,1,0,0,0,0,,,,,
,,Brevard,1,0,0,0,0,,,,,
,,Clay,1,0,0,1,0,,,,,
,,Collier,1,0,1,0,0,,,,,
,,Escambia,1,0,0,0,0,,,,,
,,Flagler,1,0,0,0,0,,,,,
,,Hillsborough,0,1,1,0,0,,,,,
,,Lake,2,0,1,0,0,,,,,
,,Marion,1,0,0,0,0,,,,,
,,Okaloosa,1,0,0,0,0,,,,,
,,Orange,9,1,5,1,0,,,,,
,,Osceola,1,0,1,1,0,,,,,
,,Palm Beach,0,1,0,0,0,,,,,
,,Pasco,1,0,0,0,0,,,,,
,,Pinellas,0,0,1,0,0,,,,,
,,Seminole,1,0,1,0,0,,,,,
,,St. Johns,2,0,0,0,0,,,,,
,,Volusia,2,0,0,0,0,,,,,
,Nonmetropolitan Counties,,1,0,0,0,0,,,,,
,,Putnam,1,0,0,0,0,,,,,
Georgia,Total,,16,2,2,1,0,,,,,
,Cities,,1,1,0,0,0,,,,,
,,Columbus,1,1,0,0,0,,,,,
,Universities and Colleges,,5,0,0,0,0,,,,,
,,Berry College,1,0,0,0,0,,,,,
,,University of Georgia,4,0,0,0,0,,,,,
,Metropolitan Counties,,10,1,2,1,0,,,,,
,,Cobb County Police Department,6,1,1,1,0,,,,,
,,Henry County Police Department,4,0,1,0,0,,,,,
Idaho,Total,,11,5,10,9,0,,,,,
,Cities,,10,5,9,9,0,,,,,
,,Bellevue,0,0,1,0,0,,,,,
,,Boise,8,2,5,3,0,,,,,
,,Coeur d'Alene,1,0,0,4,0,,,,,
,,Garden City,0,1,0,0,0,,,,,
,,Grangeville,0,1,0,0,0,,,,,
,,Jerome,0,0,2,0,0,,,,,
,,Meridian,0,1,0,0,0,,,,,
,,Nampa,1,0,1,1,0,,,,,
,,Twin Falls,0,0,0,1,0,,,,,
,Metropolitan Counties,,1,0,1,0,0,,,,,
,,Kootenai,1,0,1,0,0,,,,,
Illinois,Total,,48,6,19,11,0,,,,,
,Cities,,38,6,18,9,0,,,,,
,,Algonquin,1,0,0,0,0,,,,,
,,Altamont,1,0,0,0,0,,,,,
,,Aurora,0,1,0,0,0,,,,,
,,Beardstown,1,0,0,0,0,,,,,
,,Bellwood,1,0,0,0,0,,,,,
,,Bloomington,1,0,0,0,0,,,,,
,,Canton,1,0,0,0,0,,,,,
,,Carpentersville,1,0,0,0,0,,,,,
,,Centralia,1,0,0,0,0,,,,,
,,Chicago,3,1,8,2,0,,,,,
,,Crest Hill,1,0,0,0,0,,,,,
,,Crystal Lake,1,0,0,1,0,,,,,
,,Danville,0,0,1,0,0,,,,,
,,Decatur,1,0,0,0,0,,,,,
,,De Kalb,1,0,0,0,0,,,,,
,,Des Plaines,1,0,0,0,0,,,,,
,,Downers Grove,0,0,1,0,0,,,,,
,,Evanston,0,0,0,1,0,,,,,
,,Fairbury,1,0,0,0,0,,,,,
,,Joliet,1,0,0,0,0,,,,,
,,La Grange,1,1,0,0,0,,,,,
,,Monmouth,0,0,1,0,0,,,,,
,,Normal,0,0,2,0,0,,,,,
,,North Riverside,0,0,1,0,0,,,,,
,,Oak Forest,1,0,0,0,0,,,,,
,,Olney,0,0,1,0,0,,,,,
,,Peoria,1,0,0,0,0,,,,,
,,Plainfield,0,0,1,0,0,,,,,
,,Quincy,1,0,1,0,0,,,,,
,,Rockford,5,0,0,1,0,,,,,
,,Rolling Meadows,0,0,1,0,0,,,,,
,,Skokie,1,2,0,0,0,,,,,
,,Springfield,7,0,0,1,0,,,,,
,,Summit,0,0,0,1,0,,,,,
,,Tinley Park,1,0,0,0,0,,,,,
,,Urbana,1,0,0,0,0,,,,,
,,West Frankfort,1,0,0,0,0,,,,,
,,Wheeling,0,1,0,0,0,,,,,
,,Winnetka,0,0,0,1,0,,,,,
,,Wood River,0,0,0,1,0,,,,,
,Universities and Colleges,,3,0,0,0,0,,,,,
,,"Black Hawk College, Kewannee4",1,0,0,0,0,,,,,
,,Western Illinois University,2,0,0,0,0,,,,,
,Metropolitan Counties,,6,0,1,2,0,,,,,
,,Alexander,1,0,0,0,0,,,,,
,,Du Page,1,0,0,1,0,,,,,
,,Madison,0,0,1,0,0,,,,,
,,Peoria,2,0,0,1,0,,,,,
,,Sangamon,1,0,0,0,0,,,,,
,,Will,1,0,0,0,0,,,,,
,Nonmetropolitan Counties,,1,0,0,0,0,,,,,
,,La Salle,1,0,0,0,0,,,,,
Indiana,Total,,23,5,7,2,0,,,,,
,Cities,,9,1,6,1,0,,,,,
,,Bloomington,7,0,6,0,0,,,,,
,,Franklin,1,0,0,0,0,,,,,
,,Hammond,0,0,0,1,0,,,,,
,,Mishawaka,1,0,0,0,0,,,,,
,,Seymour,0,1,0,0,0,,,,,
,Universities and Colleges,,14,4,1,0,0,,,,,
,,"Indiana University, Southeast",8,0,0,0,0,,,,,
,,Purdue University,6,4,1,0,0,,,,,
,Metropolitan Counties,,0,0,0,1,0,,,,,
,,Elkhart,0,0,0,1,0,,,,,
Iowa,Total,,4,2,2,0,0,,,,,
